3cwb_F	_9_b_2_d_8_n_3_b_13_c_5_c_21_k	_3_b_5_h_2_n_5_b_0_-_3_b_5_m	0.576
1vhq_A	_4_F_2_H_0_l_11_G_5_F_9_c_4_n_12_A_0_-_5_b_0_B_0_-_0_-_0_-_5_B_6_A_9_b_2_d_0_-_0_-_0_-_8_n	_0_D_0_-_11_k_0_-_3_E_21_d_0_-_8_A_0_b_2_b_2_B_5_c_4_f_4_g_7_A_14_A_0_-_5_g_3_A_8_B_4_B_8_n	0.373
2i2s_A	_0_G_4_F_0_-_2_H_0_l_11_G_5_F_9_c_4_n_12_A_0_-_0_-_5_b_0_B_5_B	_4_F_5_F_3_I_2_H_0_-_5_G_7_G_0_-_0_-_4_E_2_G_4_E_3_b_1_C_2_E	0.422
6d8b_A	_0_G_4_F_2_H_0_l_0_-_0_-_11_G_5_F_9_c_4_n_12_A_5_b_0_B_5_B_6_A	_4_E_9_E_6_H_3_g_6_C_6_A_15_H_4_E_0_-_0_-_3_C_0_-_1_D_4_C_4_A	0.355
3l5z_A	_2_H_0_l_11_G_5_F_0_-_9_c_4_n_12_A_5_b_0_B_5_B_6_A_9_b	_0_J_2_f_6_J_2_A_3_A_9_c_4_f_5_G_6_d_10_F_4_F_0_-_3_b	0.375
6edd_A	_0_G_4_F_2_H_0_-_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_5_B_6_A_9_b	_3_E_7_G_8_G_1_b_4_j_0_-_9_E_4_h_0_-_3_A_1_b_1_A_11_G_0_-_0_f	0.378
2ok3_A	_11_G_5_F_9_c_4_n_12_A_5_b_0_B_5_B_6_A_9_b_0_-_2_d	_0_E_2_F_0_-_5_j_10_B_0_-_3_C_32_C_11_C_4_b_5_F_1_g	0.477
1ukh_A	_0_G_4_F_2_H_0_l_11_G_5_F_0_-_9_c_4_n_12_A_5_b_0_B_5_B_6_A_9_b_2_d_8_n_0_-_3_b_0_-_13_c_5_c_21_k_4_b_6_g	_2_H_3_G_4_G_6_l_8_D_12_D_3_A_0_c_6_n_0_-_0_-_13_B_5_B_0_-_0_-_9_c_8_l_9_j_4_d_3_f_10_c_2_b_3_k_4_b_3_e	0.636
5hdk_D	_4_n_12_A_5_b_0_B_5_B_6_A_9_b_2_d_8_n_3_b_0_-_0_-_13_c	_0_j_0_-_1_b_3_B_6_B_0_-_2_f_1_d_0_-_4_i_3_A_16_C_8_e	0.378
4lhn_A	_0_G_4_F_2_H_0_l_11_G_5_F_9_c_4_n_12_A_0_-_5_b_0_B_5_B_6_A_9_b	_23_H_5_F_5_E_0_-_22_C_10_F_0_-_4_I_4_B_1_C_0_-_5_B_6_B_10_A_2_b	0.405
2eaa_B	_0_G_0_-_0_-_4_F_2_H_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_5_B_0_-_6_A_9_b_2_d_8_n_3_b_13_c_0_-_5_c_21_k_4_b_0_-_0_-_6_g	_2_E_2_c_1_e_3_F_3_G_0_-_1_H_2_E_0_-_0_-_4_E_0_-_3_D_4_E_6_H_8_B_0_-_9_c_0_-_2_g_3_c_15_B_2_e_19_A_0_b_4_A_3_E_5_e	0.354
2onf_A	_0_B_5_B_6_A_9_b_2_d_8_n_0_-_0_-_3_b_13_c_5_c	_0_C_4_E_2_E_2_b_0_-_8_o_4_K_5_K_1_e_5_d_1_e	0.369
3w5j_A	_0_G_4_F_0_-_2_H_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_5_B_6_A_9_b_2_d_8_n	_9_G_2_F_11_j_4_F_0_l_0_-_4_E_1_e_0_-_0_-_6_g_3_B_0_-_0_-_4_j_6_g_1_m	0.373
3eng_A	_0_G_0_-_0_-_4_F_2_H_0_l_0_-_11_G_5_F_9_c_0_-_4_n_12_A_0_-_5_b	_0_F_6_b_35_A_7_C_2_H_5_c_3_E_8_H_7_D_11_d_13_e_2_j_9_F_3_f_6_b	0.353
3asz_A	_4_F_2_H_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_-_0_B_5_B_6_A_0_-_0_-_9_b_2_d_0_-_8_n_3_b_13_c_5_c_0_-_21_k_4_b	_0_F_0_-_5_l_0_-_0_D_0_b_9_e_0_-_5_b_2_j_4_B_2_A_4_A_4_B_4_D_0_-_7_c_4_E_2_l_4_f_5_b_5_e_2_C_5_j_1_d	0.452
2g3a_A	_0_G_4_F_2_H_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_5_B	_5_G_0_-_5_I_0_-_2_G_0_-_8_e_2_e_4_C_2_i_2_E_8_E	0.394
4y28_3	_2_d_8_n_3_b_13_c_5_c	_10_d_13_p_40_q_8_i_6_d	0.362
6m8t_A	_2_H_0_l_11_G_5_F_0_-_9_c_4_n_12_A_5_b_0_B_0_-_0_-_5_B_0_-_6_A_9_b_2_d_8_n	_0_E_5_k_0_-_3_E_1_i_6_d_0_-_2_C_6_b_8_E_1_h_5_j_4_D_6_j_3_A_0_-_0_-_13_l	0.393
2d2a_B	_0_G_4_F_0_-_2_H_0_l_11_G_5_F	_5_F_3_F_6_E_2_E_0_f_3_F_2_F	0.543
1nfj_A	_0_G_0_-_4_F_2_H_0_l_11_G_5_F	_0_C_5_k_4_F_0_-_2_j_9_J_9_J	0.404
5zrk_A	_0_G_4_F_0_-_2_H_0_l_0_-_11_G_5_F_9_c_4_n	_0_I_2_E_10_A_2_B_6_k_2_K_4_J_9_D_1_c_6_k	0.492
2okq_A	_2_H_0_l_11_G_5_F_9_c_0_-_4_n_12_A_5_b_0_B	_3_I_0_n_0_-_4_E_11_c_6_I_2_j_0_-_2_d_12_E	0.461
3glv_A	_2_H_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_0_-_5_B	_0_E_6_j_0_-_4_E_2_e_8_g_7_C_5_g_3_C_4_k_4_C	0.403
2gqf_A	_0_G_4_F_2_H_0_l_11_G_5_F_0_-_9_c_4_n_12_A_5_b_0_-_0_B_5_B_6_A_9_b_0_-_2_d_0_-_8_n	_3_G_4_G_3_B_1_e_0_-_9_C_6_j_5_c_5_h_0_-_8_b_2_j_1_B_3_A_10_A_1_b_12_B_1_b_3_A_4_m	0.386
1tuw_A	_2_H_0_l_0_-_11_G_5_F_9_c_4_n_12_A_5_b	_0_H_1_k_4_d_3_F_2_G_4_e_4_j_2_B_7_c	0.579
5mdx_b	_9_c_4_n_12_A_5_b_0_B_5_B_6_A_9_b_2_d_8_n_3_b_13_c_5_c_21_k_4_b_6_g	_18_e_24_p_0_-_18_m_13_B_8_B_0_-_16_p_4_e_6_p_0_-_13_d_0_-_2_k_5_f_2_e	0.354
2bl5_A	_5_F_9_c_4_n_12_A_5_b_0_B_5_B_6_A_9_b_2_d_0_-_8_n_3_b_13_c_5_c	_0_E_10_d_4_j_0_-_0_-_1_E_0_-_0_-_7_d_5_c_6_E_4_m_9_f_1_b_7_c	0.414
6avv_A	_4_F_2_H_0_l_0_-_11_G_5_F_9_c_0_-_4_n_12_A_5_b_0_B_0_-_5_B_6_A_9_b_2_d_8_n_3_b_0_-_13_c_5_c_0_-_21_k	_0_D_0_-_6_i_3_c_2_B_5_C_0_b_2_C_17_n_0_-_4_b_0_E_1_j_7_D_0_-_0_-_7_e_0_-_4_b_2_E_7_d_1_f_4_E_8_l	0.392
4ix7_A	_2_d_8_n_3_b_13_c_5_c_0_-_21_k_4_b	_0_c_7_j_0_-_2_e_8_b_11_l_3_l_2_d	0.452
1eue_A	_12_A_5_b_0_B_5_B_6_A_9_b_2_d_8_n_3_b_13_c_5_c_21_k_0_-_4_b	_0_A_1_c_3_A_2_E_2_C_0_-_1_e_0_-_0_-_5_c_7_f_3_i_0_D_1_b	0.462
1zkp_A	_4_F_2_H_0_l_11_G_0_-_0_-_5_F_9_c_4_n_12_A_5_b_0_-_0_B_5_B_6_A_9_b_2_d_8_n_3_b_13_c_5_c_21_k_4_b_6_g	_0_B_13_E_0_-_2_D_5_d_5_b_2_B_5_c_2_l_5_D_4_d_7_D_6_B_2_B_14_B_2_D_9_d_4_D_8_b_0_-_0_-_3_i_4_D_8_g	0.353
2b8m_A	_4_F_2_H_0_l_11_G_0_-_5_F_9_c	_0_F_4_G_0_-_12_F_18_C_13_G_3_c	0.645
4pug_B	_0_l_11_G_0_-_5_F_9_c_4_n_12_A_5_b_0_B	_0_k_3_E_1_b_6_F_1_b_4_j_0_-_1_c_5_F	0.510
2ca1_A	_2_d_8_n_3_b_13_c_5_c_21_k_4_b	_0_d_0_-_3_b_9_c_13_h_1_f_5_a	0.466
1kqf_A	_2_H_0_l_11_G_5_F_0_-_9_c_0_-_0_-_4_n_12_A_5_b_0_B_5_B_0_-_6_A_9_b_0_-_2_d_8_n_3_b_13_c_0_-_5_c_0_-_21_k_4_b_6_g	_0_E_0_-_8_F_9_F_12_c_2_c_9_B_7_A_2_n_1_B_0_-_5_D_2_C_6_k_5_A_1_b_3_j_9_d_2_D_3_c_5_h_3_D_5_c_3_B_6_k_0_-_5_f	0.426
1bwv_S	_0_G_0_-_0_-_4_F_2_H_0_l_11_G_5_F_9_c_4_n_12_A_5_b	_3_F_10_A_10_k_4_G_6_H_0_-_7_F_5_F_0_c_0_-_0_-_2_b	0.483
3wz3_A	_4_F_2_H_0_-_0_l_11_G_5_F	_10_E_6_G_2_A_0_-_10_G_15_C	0.434
3m73_A	_2_d_8_n_0_-_3_b_13_c_5_c_21_k	_1_h_3_n_4_o_1_d_5_b_2_c_5_j	0.425
1tqz_A	_0_G_4_F_2_H_0_-_0_l_11_G_5_F_9_c_4_n	_6_G_5_E_8_D_7_B_0_-_7_F_3_G_0_-_3_l	0.406
3c01_F	_0_G_4_F_2_H_0_l_11_G_5_F_9_c_4_n	_0_G_0_-_3_J_0_k_0_-_0_-_7_i_8_n	0.394
2p7l_C	_4_F_0_-_2_H_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_5_B_6_A_9_b_2_d	_0_E_2_j_3_G_0_b_1_H_2_F_0_-_0_-_11_C_2_k_17_D_5_D_0_-_0_-_3_e	0.380
4ixp_A	_0_G_4_F_2_H_0_l_11_G_5_F_0_-_9_c_4_n_12_A_5_b_0_B_5_B_6_A_0_-_9_b_2_d_8_n_0_-_0_-_3_b_13_c_5_c_21_k_4_b_6_g	_3_G_5_F_4_H_0_m_10_E_3_F_4_A_0_d_7_n_0_-_9_b_0_B_5_B_6_C_4_C_2_e_2_d_5_m_9_i_10_i_4_b_3_d_2_c_19_j_0_-_3_h	0.687
3zhg_A	_0_G_4_F_0_-_2_H_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_5_B	_0_B_2_D_6_h_4_A_5_k_2_I_2_C_7_e_0_-_13_D_0_-_2_D_5_G	0.364
1dd2_A	_0_G_0_-_4_F_2_H_0_l_11_G_5_F	_5_D_6_A_4_E_4_D_0_-_4_E_12_E	0.388
2xhy_A	_0_l_11_G_5_F_9_c_4_n_12_A_0_-_5_b_0_-_0_B_5_B_6_A_9_b_2_d_8_n_3_b_0_-_0_-_0_-_13_c_5_c_21_k_4_b_6_g	_3_l_0_-_3_D_2_c_10_l_3_F_5_e_2_b_2_l_6_D_0_-_0_-_4_b_6_e_0_-_3_b_3_q_4_F_3_B_4_i_1_f_9_i_0_-_9_f	0.362
6lkb_B	_11_G_5_F_9_c_4_n_12_A_5_b_0_B_5_B_6_A_9_b_0_-_2_d	_0_E_2_F_0_-_5_j_10_B_0_-_3_C_32_C_11_C_4_b_5_F_1_g	0.477
1pg5_A	_0_G_0_-_4_F_0_-_2_H_0_l_11_G_0_-_5_F_0_-_9_c_4_n_12_A_0_-_5_b_0_B_0_-_0_-_5_B_6_A_9_b_2_d_8_n	_3_E_5_j_2_E_4_g_4_E_5_l_6_E_5_j_4_D_2_b_3_c_0_-_6_C_2_b_1_b_2_D_9_j_3_d_6_B_0_-_0_-_10_d_5_n	0.408
2jn6_A	_8_n_3_b_13_c_5_c_21_k_4_b_6_g	_0_j_2_b_0_-_2_g_3_j_12_c_1_h	0.479
1vkc_A	_4_F_2_H_0_l_0_-_11_G_0_-_5_F_9_c_4_n_12_A_5_b	_0_D_0_-_1_m_6_m_2_H_4_J_6_I_1_b_4_l_5_B_7_f	0.431
3f3h_A	_0_G_4_F_2_H_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_5_B	_9_C_5_F_9_E_0_-_2_E_10_C_0_c_0_-_5_A_0_-_4_E_6_G	0.411
1tm1_I	_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B	_4_j_4_E_12_E_0_-_0_-_4_A_0_-_4_B	0.363
1hjq_A	_4_F_0_-_0_-_2_H_0_l_11_G_0_-_5_F_9_c_4_n_12_A_0_-_5_b_0_B_0_-_5_B_6_A_9_b_2_d_8_n_0_-_3_b_0_-_13_c	_0_D_3_e_14_f_4_E_10_k_3_E_21_o_5_C_0_-_17_l_8_E_5_k_4_b_2_D_10_l_2_E_0_-_15_b_0_-_6_m_3_F_4_b_17_A_1_h	0.353
4zds_B	_2_d_8_n_3_b_13_c_5_c_21_k_4_b_0_-_6_g	_0_d_4_k_4_b_2_b_14_c_0_-_13_b_2_l_3_h	0.611
4mno_A	_0_G_4_F_2_H_0_l_11_G_5_F_0_-_9_c	_0_I_2_E_4_D_2_c_9_E_7_F_2_h_5_e	0.514
5szg_A	_9_b_2_d_8_n_3_b_13_c_5_c_21_k	_7_i_2_d_2_n_4_b_0_-_0_-_2_j	0.466
2wo6_B	_0_G_4_F_2_H_0_l_0_-_11_G_5_F_9_c_4_n_12_A_5_b_0_B_5_B_6_A_9_b_2_d_8_n_0_-_3_b_13_c_0_-_0_-_5_c_0_-_21_k_4_b_6_g	_3_I_2_G_4_G_3_m_5_d_3_F_2_F_5_f_7_m_6_A_5_b_0_B_7_B_6_A_10_b_2_c_7_l_9_j_4_c_5_c_0_B_5_B_12_c_7_b_9_k_10_c_3_c	0.632
1wyk_A	_4_F_2_H_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_5_B_0_-_0_-_6_A	_0_D_5_G_0_-_2_D_5_A_4_b_0_-_3_B_0_b_1_D_18_D_2_E_2_D_11_B	0.376
1ylw_A	_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_5_B_6_A_9_b_2_d_0_-_8_n_3_b_13_c_5_c_0_-_21_k_0_-_4_b	_0_k_2_G_4_D_5_A_1_l_0_-_5_b_1_C_0_-_0_-_1_b_7_c_2_C_0_i_3_i_3_i_13_b_9_A_1_j_6_j_8_c	0.382
1vyu_B	_0_G_4_F_2_H_0_l_11_G_0_-_0_-_5_F_9_c_4_n_12_A_5_b_0_B_5_B_6_A_9_b_2_d_0_-_0_-_8_n	_4_F_4_E_7_C_1_k_10_C_4_C_12_i_4_E_3_b_4_l_4_E_6_c_6_D_0_-_0_-_4_i_12_e_2_b_2_B_4_n	0.354
1l5w_A	_2_H_0_-_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_0_-_5_B_0_-_6_A_0_-_9_b_0_-_0_-_2_d_8_n_3_b_13_c_5_c_21_k_4_b_6_g	_8_E_4_b_1_l_0_-_9_E_0_-_7_m_0_-_5_b_0_D_5_i_2_C_11_f_3_C_5_g_1_b_1_A_4_i_3_f_1_j_0_-_11_e_10_n_1_k_1_b_1_g	0.409
7nrz_H	_4_F_2_H_0_l_11_G_0_-_5_F_9_c_0_-_4_n_12_A_5_b_0_B_0_-_5_B_6_A_9_b_2_d_8_n_3_b_13_c_5_c_21_k_4_b_6_g	_0_D_0_-_4_k_5_E_3_h_7_E_9_e_5_C_11_o_4_C_4_l_7_B_2_l_9_B_0_-_3_b_0_-_0_B_1_b_0_-_0_-_7_j_0_-_1_g	0.401
5huf_B	_11_G_5_F_9_c_4_n_12_A_5_b_0_B_5_B_6_A_9_b_2_d_8_n	_0_E_2_E_0_-_1_n_0_-_17_z_6_B_5_B_0_-_5_g_5_c_2_h	0.398
2d0v_A	_0_G_0_-_4_F_0_-_2_H_0_l_0_-_11_G_5_F_9_c_4_n_12_A_5_b_0_B_5_B_6_A_9_b_0_-_0_-_2_d_8_n_3_b_13_c_5_c_0_-_21_k_4_b	_0_G_11_B_2_D_6_D_2_H_5_e_10_B_8_D_4_E_0_-_0_-_5_E_3_b_8_B_2_C_0_-_4_b_4_E_5_E_4_c_0_-_10_b_4_c_3_e_9_B_4_D_8_b	0.421
5amr_A	_0_G_0_-_0_-_4_F_0_-_0_-_2_H_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_0_-_5_B_6_A_9_b_2_d_0_-_8_n_3_b_13_c_0_-_5_c_21_k_4_b_6_g	_3_J_9_f_6_k_3_B_2_h_8_c_8_B_10_p_4_H_2_I_0_-_4_m_3_A_0_-_5_B_2_C_2_C_2_B_0_-_3_g_7_m_4_m_11_b_5_b_12_p_2_b_4_i_2_b_2_h	0.387
2f9h_A	_11_G_5_F_9_c_4_n_12_A_5_b_0_B_5_B_0_-_6_A_9_b	_0_E_11_B_5_c_0_-_3_C_3_b_7_C_2_G_3_g_2_C_7_b	0.492
1zws_A	_0_G_4_F_2_H_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_5_B_6_A_9_b_2_d_8_n_3_b_13_c_5_c_21_k_4_b_6_g	_5_B_4_G_4_G_13_k_8_E_4_D_7_f_5_o_1_A_5_b_0_B_9_B_6_A_0_-_18_c_7_l_0_-_9_i_6_c_4_i_4_b_3_d	0.629
2ej5_A	_4_F_2_H_0_-_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_0_-_5_B_6_A_9_b_2_d_8_n_3_b_0_-_13_c_0_-_5_c_21_k_4_b_6_g	_0_E_2_E_2_b_5_l_0_-_5_E_12_c_5_h_4_D_0_-_2_B_1_g_2_D_3_B_0_-_2_c_7_h_1_i_3_A_0_f_4_B_1_l_3_l_2_m_1_i	0.370
3rro_A	_4_F_0_-_2_H_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_-_0_-_0_B_5_B_6_A_9_b_2_d_8_n_3_b_13_c_5_c_21_k_4_b	_0_C_5_j_3_E_2_k_0_-_0_D_0_-_5_l_4_C_9_b_2_g_5_l_2_E_0_-_0_-_0_-_2_d_5_p_1_G_5_c_3_g_10_j_1_b	0.387
2dn3_A	_2_d_8_n_3_b_13_c_5_c_21_k	_1_e_10_n_0_-_1_f_1_d_10_m	0.559
4jei_A	_0_G_4_F_2_H_0_l_11_G_0_-_0_-_0_-_5_F_9_c_4_n_12_A_0_-_0_-_5_b_0_B_0_-_5_B_6_A_9_b_2_d	_3_G_7_G_4_G_3_h_5_B_0_b_13_B_0_p_4_F_0_-_1_l_5_D_7_j_15_E_4_b_12_C_8_b_0_E_1_A_3_b_8_e	0.390
4ig6_A	_0_G_0_-_4_F_2_H_0_l_11_G_0_-_5_F_9_c_4_n_12_A_0_-_5_b_0_B_5_B_6_A_9_b_2_d_8_n_3_b_13_c	_3_E_0_c_8_A_9_A_1_k_4_J_2_g_3_D_8_e_0_-_3_C_9_j_8_i_13_A_0_-_2_A_0_-_2_c_3_n_0_-_1_c	0.377
6swe_L	_0_G_0_-_4_F_2_H_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B	_0_F_3_l_4_F_4_E_0_-_10_E_2_F_3_c_0_-_0_-_1_b_7_E	0.525
2dg8_A	_8_n_3_b_13_c_5_c_0_-_21_k	_0_l_1_b_2_g_4_e_3_q_4_m	0.366
2y7j_A	_0_G_4_F_2_H_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_5_B_6_A_9_b_2_d_8_n_3_b_13_c_5_c_21_k_0_-_4_b	_0_H_3_G_5_G_7_o_8_F_2_E_7_g_4_n_2_A_5_b_0_B_5_B_6_A_13_b_2_e_12_l_0_-_9_i_6_c_4_i_10_e_1_b	0.706
4gq7_A	_0_G_4_F_2_H_0_l_11_G_5_F_9_c_4_n_12_A_0_-_0_-_0_-_5_b_0_B_5_B_6_A_9_b	_2_G_4_B_25_H_0_-_5_H_3_E_0_-_0_-_22_B_9_H_4_I_4_B_0_-_1_C_5_B_6_B_7_b	0.400
3eyj_B	_11_G_5_F_9_c_4_n_12_A_5_b_0_B_5_B_6_A_9_b_2_d_8_n	_0_E_2_E_0_-_1_n_0_-_19_z_0_B_5_B_0_-_0_-_5_g_5_k	0.357
4qy4_B	_8_n_3_b_13_c_5_c_21_k	_0_k_8_d_9_e_6_h_6_m	0.427
5c2m_A	_0_G_4_F_0_-_2_H_0_l_0_-_11_G_5_F_9_c_4_n_12_A_5_b_0_B_5_B_6_A_9_b_2_d_8_n_3_b	_5_D_2_D_9_c_1_C_3_b_2_C_5_D_2_D_9_c_0_-_1_A_5_b_2_C_5_C_3_C_11_b_0_-_0_B_3_b	0.387
1ej0_A	_0_G_4_F_0_-_2_H_0_l_11_G_0_-_5_F	_4_E_9_D_5_j_4_E_9_o_0_J_4_j_0_F	0.371
4o8a_A	_4_F_0_-_2_H_0_-_0_l_11_G_0_-_5_F_9_c_4_n_12_A_5_b_0_B_5_B_6_A_9_b_2_d_8_n_3_b_13_c_5_c_21_k	_5_E_5_l_3_E_4_j_10_l_5_E_3_i_10_D_4_c_0_-_0_-_6_b_6_F_0_-_0_-_2_b_0_-_1_j_0_-_4_c_7_c_3_j	0.444
4gdk_A	_0_G_4_F_2_H_0_l_11_G_0_-_5_F	_0_G_10_D_0_-_4_j_9_C_11_g_4_F	0.516
1jya_A	_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_5_B_6_A_9_b_2_d_8_n_3_b_13_c	_0_j_10_E_2_F_0_-_0_-_4_A_12_g_9_D_4_D_2_A_0_b_4_e_0_-_0_-_2_e	0.444
5x5f_A	_0_G_0_-_4_F_0_-_0_-_0_-_2_H_0_l_11_G_5_F_9_c_4_n_12_A_0_-_5_b_0_B_5_B_6_A_0_-_0_-_9_b_2_d_0_-_8_n_3_b_13_c_5_c_21_k_4_b_6_g	_4_G_2_e_21_F_12_J_6_B_24_D_8_I_0_-_5_H_7_B_0_-_13_A_10_A_29_A_0_-_9_B_93_C_20_A_10_g_2_r_29_g_11_e_10_A_7_m_13_j_5_d_0_-_5_k_8_j_5_d	0.357
3h34_A	_0_B_5_B_6_A_9_b_2_d_8_n_3_b_13_c	_0_B_6_B_0_-_1_c_6_b_13_l_0_-_6_c	0.567
4q96_D	_8_n_3_b_13_c_5_c_21_k_4_b_6_g	_1_m_2_m_5_f_0_-_2_l_2_j_5_i	0.355
1wvo_A	_12_A_5_b_0_B_5_B_0_-_6_A_9_b	_0_C_11_b_0_C_0_-_11_c_3_A_11_b	0.587
3en1_B	_9_b_2_d_8_n_3_b_13_c_0_-_5_c_0_-_21_k_4_b	_0_b_0_-_7_n_0_-_3_e_1_I_6_e_8_D_1_i_6_b	0.443
1doq_A	_2_d_8_n_3_b_13_c_5_c_21_k	_0_c_0_-_3_h_5_e_2_c_7_k	0.575
4e1o_A	_0_G_0_-_4_F_2_H_0_l_11_G_0_-_5_F_9_c_4_n_12_A_5_b_0_B_5_B_6_A_9_b_0_-_2_d_8_n_3_b_13_c_5_c_0_-_0_-_0_-_21_k	_2_E_4_i_2_D_0_-_9_k_3_H_12_g_2_D_3_e_1_f_0_-_2_b_2_C_0_-_0_-_1_c_7_D_2_d_0_-_7_b_0_-_10_c_9_u_4_A_8_E_3_k	0.395
3emc_A	_2_H_0_l_11_G_0_-_0_-_5_F_9_c_4_n_12_A_5_b_0_B_0_-_5_B_6_A_9_b_2_d_0_-_8_n_0_-_3_b_13_c	_4_E_1_k_2_C_5_c_9_j_4_C_10_c_9_m_6_E_23_j_4_E_5_l_6_C_2_B_5_j_0_-_4_I_15_n_4_E_8_b_21_e	0.357
2jek_A	_2_d_8_n_3_b_13_c_5_c_21_k_4_b_0_-_6_g	_0_f_3_h_8_c_10_d_5_h_3_k_5_c_4_l_4_i	0.451
4mot_A	_0_G_0_-_4_F_2_H_0_l_11_G_5_F	_2_G_3_A_4_D_6_G_11_l_3_E_5_C	0.621
3v7e_A	_0_G_0_-_4_F_2_H_0_l_11_G_0_-_5_F	_2_C_1_g_4_F_0_-_4_k_3_C_2_g_7_E	0.360
5z1n_A	_2_d_8_n_3_b_13_c_5_c_21_k_0_-_4_b_6_g	_0_d_3_m_2_p_5_p_6_q_5_k_2_i_2_b_1_g	0.385
1urr_A	_2_H_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_5_B	_0_J_5_j_2_E_5_F_0_-_1_k_6_F_0_-_3_B_7_B	0.515
1sdw_A	_0_G_4_F_2_H_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_5_B_6_A_9_b_2_d	_0_D_2_F_10_G_0_-_6_H_5_H_0_-_0_-_9_A_0_b_7_F_11_D_7_G_0_-_4_c	0.397
3mpz_B	_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_5_B_6_A_9_b	_0_j_12_E_4_D_6_b_3_j_5_F_10_j_4_A_0_-_6_A_0_b	0.471
3l7p_B	_0_G_0_-_0_-_4_F_2_H_0_l_11_G	_0_G_0_k_2_b_0_H_2_J_1_l_8_E	0.523
1r7a_A	_0_G_4_F_2_H_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_0_-_0_-_5_B_6_A_0_-_9_b_2_d_8_n_0_-_3_b_0_-_13_c_5_c_21_k_4_b	_10_E_2_E_6_C_4_l_0_-_4_D_1_b_12_l_3_C_5_g_4_C_2_j_3_h_4_B_27_k_3_d_1_b_12_c_3_k_3_D_0_c_6_f_2_d_5_f_3_l_1_c	0.420
4le2_D	_0_G_0_-_4_F_2_H_0_l_11_G_0_-_5_F_9_c_0_-_4_n_12_A_5_b	_0_E_3_j_4_F_0_-_2_j_3_D_7_f_6_E_3_e_4_C_5_j_4_A_1_b	0.458
1wj5_A	_0_l_11_G_5_F_9_c_0_-_4_n_12_A_5_b_0_B	_0_n_0_-_0_-_6_d_2_f_21_m_2_A_0_-_9_B	0.416
3w1s_C	_0_G_4_F_2_H_0_l_11_G_0_-_5_F	_0_G_3_D_0_-_4_j_5_C_11_g_4_F	0.516
2atp_B	_0_G_4_F_2_H_0_l_11_G_5_F_9_c_4_n_12_A_0_-_5_b_0_-_0_B_5_B	_2_C_5_E_8_H_0_-_4_I_3_C_1_b_0_-_5_C_7_C_4_b_1_G_4_B_3_E	0.509
2g7g_A	_9_b_2_d_8_n_3_b_13_c_0_-_5_c_21_k_4_b_0_-_6_g	_5_d_4_d_4_k_0_-_5_c_3_m_2_g_6_m_3_b_2_m_14_g	0.433
4w8c_A	_0_G_4_F_2_H_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B	_4_I_0_-_14_G_6_i_0_-_15_C_0_-_2_m_6_C_0_-_2_C	0.353
3g7m_A	_0_G_0_-_4_F_2_H_0_-_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_5_B_6_A	_5_F_6_A_7_C_5_H_2_A_5_A_22_E_3_F_0_-_0_-_9_D_0_-_5_B_11_D_5_D	0.353
1qfm_A	_0_G_4_F_2_H_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_0_-_5_B_0_-_6_A_9_b_2_d_8_n_3_b_0_-_0_-_13_c_0_-_5_c_0_-_21_k_4_b_0_-_6_g	_2_G_5_D_5_E_0_-_6_F_6_E_0_-_0_-_8_D_7_b_0_H_5_H_10_C_14_i_2_D_8_e_3_b_1_l_5_b_0_E_1_j_1_b_2_D_8_b_3_g_4_i_1_b_13_F_8_h	0.388
3off_A	_0_G_0_-_4_F_2_H_0_l_11_G_5_F	_0_C_5_m_4_B_5_E_2_j_5_E_2_D	0.459
2jdj_A	_4_F_2_H_0_l_0_-_11_G_5_F_9_c_4_n_12_A	_0_F_0_-_3_i_5_e_3_G_10_F_2_e_3_i_3_G	0.467
