2hv6_A	_0_i_3_d_2_f_4_o_9_b	_7_i_7_d_1_f_4_j_4_c	0.627
6swh_E	_0_I_0_i_3_d_2_f_4_o_9_b_1_C_0_-_5_D_3_J_3_I	_26_G_0_-_3_c_0_-_0_-_0_-_3_D_2_A_2_E_10_F_18_I	0.368
2f6q_B	_0_i_0_-_3_d_2_f_4_o_9_b_1_C_0_-_0_-_5_D	_12_f_4_D_11_c_0_-_6_o_0_-_5_D_3_A_1_g_2_D	0.386
2kgj_A	_0_I_0_i_3_d_2_f_4_o_9_b_1_C_0_-_5_D_3_J	_0_H_2_k_0_-_3_f_0_-_4_c_4_E_5_c_9_F_2_J	0.541
2gs5_A	_0_I_0_i_0_-_3_d_2_f_4_o_9_b	_4_G_3_f_3_B_4_d_6_c_0_-_6_c	0.366
7kaa_A	_0_i_3_d_0_-_2_f_4_o_9_b	_3_f_2_d_9_i_6_h_11_m_24_g	0.442
1qwj_A	_0_I_0_i_0_-_3_d_2_f_4_o_9_b_1_C_0_-_5_D_3_J	_4_E_2_h_3_C_2_b_6_h_0_-_0_-_7_D_8_j_5_G_34_J	0.418
1zyl_A	_0_I_0_-_0_i_3_d_2_f_4_o_0_-_9_b_1_C_5_D	_2_F_4_A_5_m_0_-_18_f_9_m_7_A_6_b_0_B_3_B	0.427
2hzq_A	_9_b_1_C_5_D_3_J_3_I	_13_b_2_G_8_G_5_G_5_I	0.539
5gy3_A	_3_d_2_f_4_o_9_b_1_C_5_D	_1_b_2_i_2_m_0_-_12_C_4_B	0.425
1pmh_X	_9_b_1_C_5_D_0_-_0_-_3_J_3_I	_0_b_4_B_5_C_2_A_0_e_3_G_4_H	0.445
5ll7_A	_0_i_3_d_0_-_2_f_4_o_9_b_1_C_5_D_0_-_3_J_3_I	_2_j_13_b_9_A_1_j_6_j_8_c_0_-_5_G_2_b_1_G_6_G	0.408
3com_B	_0_I_0_i_3_d_0_-_0_-_2_f_4_o_0_-_9_b_1_C_5_D	_5_G_4_j_10_F_2_F_4_A_0_g_5_n_2_A_5_b_0_B_5_B	0.383
1xtt_A	_2_f_4_o_9_b_1_C_5_D_0_-_3_J_0_-_3_I	_3_j_5_n_0_-_5_E_5_E_1_c_1_F_3_i_4_H	0.366
4lrq_A	_0_I_0_i_3_d_0_-_2_f_4_o_9_b_1_C	_5_E_11_g_15_e_2_C_2_i_0_-_2_e_0_B	0.402
7tm7_A	_0_I_0_-_0_i_0_-_3_d_0_-_2_f_4_o_9_b_0_-_1_C_0_-_5_D	_0_E_6_f_9_g_3_C_5_b_2_B_0_f_1_o_4_f_2_A_2_B_0_g_2_C	0.362
2atf_A	_0_i_3_d_2_f_4_o_9_b_1_C_5_D_3_J_3_I	_0_j_7_i_4_f_8_C_3_b_5_B_7_A_5_G_2_E	0.442
3fzy_A	_3_d_2_f_0_-_4_o_9_b_1_C_5_D_0_-_3_J	_0_e_13_b_18_E_4_k_1_b_0_E_5_D_2_b_4_E	0.369
4blo_A	_0_i_0_-_3_d_2_f_4_o_9_b_1_C_0_-_5_D_3_J_3_I	_3_k_4_C_2_c_0_-_14_l_0_-_3_D_9_h_4_E_0_-_2_H	0.361
2gsq_A	_0_I_0_i_3_d_2_f_4_o_9_b_1_C_5_D	_0_D_4_j_5_C_5_f_0_-_1_b_3_C_2_B	0.400
1iq4_A	_3_d_2_f_4_o_9_b_1_C_0_-_5_D_3_J_3_I	_0_d_5_g_0_-_4_b_3_H_7_l_4_C_0_-_14_G	0.434
4hsp_A	_3_d_2_f_4_o_9_b_1_C_5_D_0_-_3_J_3_I	_2_c_14_h_0_-_15_b_2_K_5_F_13_b_1_H_7_F	0.422
2a2j_A	_0_I_0_i_3_d_2_f_4_o_9_b_1_C_5_D_3_J_3_I	_1_J_2_i_0_-_2_h_10_k_0_-_11_E_3_E_0_-_7_E	0.401
5xga_A	_0_i_3_d_2_f_4_o_9_b_1_C_0_-_5_D_3_J_3_I	_2_j_2_C_0_f_0_-_1_b_1_A_1_j_3_E_6_E_5_E	0.404
3cjl_A	_0_I_0_i_3_d_2_f_4_o_9_b	_7_G_3_g_5_e_2_f_0_-_6_c	0.567
3ve2_A	_0_I_0_i_3_d_2_f_4_o_9_b_0_-_1_C_0_-_5_D_3_J_0_-_3_I	_2_I_0_-_0_-_0_-_0_-_2_b_6_J_3_C_8_G_4_F_4_G_2_F_16_G	0.352
3h4y_A	_0_I_0_-_0_i_3_d_2_f_0_-_4_o_9_b_1_C_5_D_3_J_3_I	_1_H_3_F_1_h_8_k_2_h_3_B_3_A_0_-_4_B_9_D_0_-_2_I	0.421
4bab_C	_0_i_3_d_2_f_4_o_0_-_9_b_1_C	_4_h_4_b_6_c_1_p_7_B_0_b_1_B	0.510
6gnc_A	_0_I_0_i_0_-_3_d_2_f_4_o_9_b_1_C_5_D_3_J_3_I	_0_F_3_j_4_C_6_d_14_k_4_A_0_-_5_C_4_D_0_-_2_I	0.478
1ufo_A	_0_I_0_i_3_d_2_f_4_o_9_b_0_-_1_C_0_-_5_D	_3_E_1_j_7_C_16_g_0_-_2_b_1_c_4_E_11_h_5_E	0.362
1b34_A	_9_b_1_C_5_D_3_J_3_I	_0_e_5_E_4_H_5_H_6_G	0.481
2o6f_B	_0_I_0_i_3_d_2_f_0_-_4_o_9_b_1_C_5_D_3_J_3_I	_19_H_0_-_1_e_0_-_11_G_0_-_0_-_6_C_1_D_2_G_6_I	0.418
6wxl_A	_0_I_0_i_3_d_2_f_4_o_9_b_1_C_5_D_3_J_3_I	_6_H_0_-_0_-_3_g_0_-_0_-_6_C_4_C_15_H_4_E	0.372
2qhd_A	_0_i_3_d_2_f_4_o_9_b_1_C_5_D	_0_j_3_c_18_k_0_-_0_-_14_C_2_C	0.417
2uvd_A	_0_I_0_i_3_d_2_f_4_o_9_b_1_C	_1_G_0_-_3_b_8_f_9_j_1_b_6_C	0.520
4wn5_A	_3_d_2_f_4_o_9_b_0_-_1_C_5_D_3_J_0_-_3_I	_3_d_3_c_0_-_4_c_5_k_1_B_3_C_5_J_4_b_1_J	0.494
1i52_A	_0_I_0_i_3_d_0_-_2_f_0_-_4_o_9_b_1_C_5_D_3_J_3_I	_4_G_6_b_1_c_3_D_4_i_6_C_9_j_0_-_5_E_4_C_6_D_5_I	0.420
4e70_A	_0_i_3_d_2_f_4_o_9_b_1_C_0_-_5_D_3_J_3_I	_2_k_12_c_6_f_1_q_1_c_4_D_5_h_4_E_14_D_12_D	0.498
2glz_A	_2_f_4_o_0_-_9_b_1_C_5_D_3_J	_0_h_4_l_10_D_6_f_9_B_7_C_4_F	0.354
6kkw_A	_0_I_0_i_3_d_2_f_0_-_4_o_9_b_1_C	_2_F_10_j_5_E_3_f_4_D_3_m_0_-_5_C	0.384
1nr6_A	_3_d_2_f_0_-_4_o_0_-_9_b_1_C_0_-_5_D	_1_d_13_c_18_b_4_m_0_D_3_b_5_A_4_A_5_D	0.384
4jxj_A	_0_I_0_i_3_d_0_-_2_f_4_o_0_-_9_b_1_C_5_D_3_J_3_I	_4_E_5_i_1_b_0_H_0_g_9_h_0_H_1_b_0_A_0_-_0_-_6_G	0.389
7aqb_A	_0_I_0_i_0_-_0_-_0_-_3_d_2_f_4_o_0_-_9_b_1_C_5_D	_4_H_3_l_9_D_14_F_3_A_0_e_0_-_5_n_2_A_5_b_0_C_4_C	0.363
1xme_A	_0_i_3_d_2_f_4_o_9_b	_4_g_6_e_1_h_5_s_8_b	0.580
3ctz_A	_0_I_0_i_0_-_0_-_0_-_3_d_2_f_4_o_9_b_1_C_0_-_5_D	_3_E_2_g_1_A_12_D_3_C_3_c_1_e_0_-_8_b_1_C_1_k_6_D	0.405
3kf8_B	_2_f_4_o_9_b_1_C_0_-_5_D_0_-_3_J_3_I	_2_f_9_K_0_b_1_D_2_b_7_C_9_c_4_G_4_G	0.393
2b0j_A	_0_i_0_-_3_d_0_-_2_f_4_o_9_b_0_-_1_C_0_-_5_D	_2_j_5_D_1_c_3_C_5_h_0_-_3_b_1_k_7_C_3_c_2_B	0.358
1z29_A	_0_I_0_i_3_d_2_f_4_o_9_b_1_C_0_-_5_D	_8_D_5_j_5_c_0_-_0_-_13_c_8_C_8_d_3_E	0.382
5x7v_A	_2_f_4_o_9_b_0_-_1_C_5_D_0_-_3_J_3_I	_5_e_0_-_3_b_5_e_2_F_8_F_1_d_5_G_4_E	0.392
1efp_B	_0_I_0_i_3_d_2_f_4_o_9_b_1_C_0_-_5_D_0_-_3_J_3_I	_6_G_1_k_0_-_0_-_0_-_0_-_3_E_10_l_3_D_10_h_2_J_3_G	0.356
1i1n_A	_0_I_0_i_3_d_0_-_2_f_4_o_9_b_1_C_5_D_0_-_3_J_3_I	_4_E_2_k_2_c_3_D_2_b_0_-_2_b_2_E_2_A_4_d_1_J_6_G	0.513
5iy6_K	_9_b_1_C_5_D_0_-_3_J_3_I	_0_c_9_D_6_F_3_k_3_F_7_G	0.495
3ugf_B	_0_I_0_i_3_d_0_-_0_-_2_f_0_-_4_o_9_b_1_C_5_D_0_-_3_J_0_-_3_I	_4_I_4_C_2_b_13_G_4_G_5_f_1_A_1_A_0_-_3_D_7_D_1_e_0_J_3_C_7_I	0.360
5giv_B	_0_i_0_-_3_d_2_f_4_o_9_b_1_C_5_D_3_J_3_I	_7_h_5_q_5_c_0_-_4_l_3_b_2_B_5_D_0_-_2_E	0.464
3fwx_A	_3_d_2_f_4_o_9_b_1_C_0_-_5_D_0_-_3_J_3_I	_0_c_10_g_10_B_0_c_5_C_10_I_2_D_9_D_2_F_5_E	0.407
2a0s_A	_9_b_1_C_0_-_5_D_3_J_3_I	_0_b_0_C_6_l_1_e_4_H_2_H	0.352
3er7_A	_0_i_3_d_2_f_4_o_9_b_1_C_0_-_5_D_0_-_3_J_3_I	_0_j_0_-_4_h_1_H_0_-_2_C_1_g_5_D_14_H_4_J_5_G	0.474
1mj4_A	_0_I_0_-_0_i_3_d_2_f_4_o_9_b_0_-_1_C	_3_E_2_C_4_b_4_d_7_c_0_-_3_b_2_g_2_D	0.383
5mdx_1	_0_i_3_d_2_f_4_o_9_b	_8_b_2_c_6_b_9_o_15_b	0.541
3ir3_A	_0_I_0_i_3_d_2_f_4_o_9_b_1_C_5_D_3_J_3_I	_0_F_2_j_5_b_8_k_0_-_0_-_7_G_0_-_9_J_2_I	0.399
1wgv_A	_9_b_1_C_5_D_3_J_0_-_3_I	_7_b_0_D_3_F_4_H_9_C_4_E	0.545
4pne_B	_0_I_0_-_0_i_3_d_2_f_4_o_9_b_1_C_5_D_3_J	_2_F_1_c_2_j_4_d_1_j_1_b_1_b_0_-_0_-_0_H	0.374
5ykt_B	_0_I_0_i_0_-_3_d_2_f_4_o_9_b_1_C_0_-_5_D	_4_E_15_j_3_D_3_c_3_e_0_-_0_-_5_C_1_c_5_D	0.466
3bwn_B	_0_i_3_d_2_f_0_-_4_o_9_b_1_C_0_-_5_D_3_J_3_I	_6_g_2_c_24_k_8_D_1_l_0_-_6_D_6_d_8_E_9_E_21_E	0.421
1vgw_B	_0_I_0_i_3_d_2_f_0_-_4_o_0_-_9_b_0_-_1_C_5_D_3_J_3_I	_0_E_12_i_6_D_6_g_4_B_6_l_7_C_9_j_6_E_4_C_4_D_0_-_5_I	0.388
5a97_C	_0_i_3_d_2_f_4_o_9_b	_6_i_2_d_16_k_2_n_1_b	0.669
1hxs_3	_3_d_2_f_4_o_9_b_1_C_0_-_0_-_5_D_3_J_3_I	_0_d_0_-_3_A_12_c_1_C_9_C_12_e_2_D_2_F_8_F	0.369
1knq_A	_0_I_0_i_0_-_3_d_2_f_4_o_9_b_1_C_0_-_5_D	_0_E_6_j_2_C_0_c_2_g_6_o_0_-_2_D_5_g_5_F	0.544
5z9j_C	_0_i_0_-_3_d_0_-_0_-_2_f_4_o_9_b_1_C	_2_g_5_A_2_c_6_c_3_b_4_j_2_o_0_-_5_B	0.356
2inw_B	_9_b_1_C_0_-_5_D_3_J_3_I	_2_b_0_C_4_k_19_D_2_E_6_G	0.614
4m46_A	_0_i_3_d_0_-_2_f_4_o_9_b_1_C_0_-_5_D_3_J_0_-_0_-_3_I	_2_h_2_c_7_B_7_i_8_B_1_b_2_C_11_B_4_D_13_E_6_A_3_f_6_H	0.411
1cqq_A	_0_I_0_i_3_d_2_f_4_o_9_b_1_C_5_D_3_J_3_I	_2_I_0_-_1_D_0_-_0_-_0_b_4_C_0_-_2_J_5_H	0.370
4y7k_B	_0_i_0_-_3_d_2_f_4_o_9_b_1_C_5_D_0_-_3_J_0_-_3_I	_0_i_2_n_5_c_4_f_0_-_0_-_2_B_2_B_1_s_6_F_6_j_4_F	0.369
3d01_A	_0_i_3_d_2_f_0_-_0_-_4_o_9_b_1_C_0_-_0_-_5_D_0_-_3_J	_0_f_0_-_2_h_12_C_2_F_18_o_4_b_2_H_8_l_1_b_2_D_4_b_2_H	0.353
2yna_A	_0_I_0_-_0_i_3_d_2_f_4_o_9_b_1_C_0_-_5_D_0_-_3_J_3_I	_2_G_2_D_0_c_2_b_5_e_0_-_3_b_1_B_10_F_2_E_9_B_7_G_2_H	0.494
6npo_A	_0_I_0_i_0_-_3_d_2_f_4_o_9_b_1_C_5_D_0_-_0_-_0_-_0_-_3_J_3_I	_5_E_14_j_1_b_4_c_5_e_0_-_4_b_2_D_2_E_6_c_3_b_4_i_4_b_6_F_3_E	0.393
3eau_A	_0_I_0_i_0_-_3_d_0_-_2_f_4_o_9_b_1_C	_7_D_12_g_2_D_3_e_11_b_4_g_1_n_3_i_6_C	0.365
1v3y_A	_3_d_2_f_4_o_9_b_1_C_0_-_5_D_3_J_3_I	_0_c_11_k_4_B_0_c_5_D_8_K_2_D_8_E_2_F	0.376
3fru_A	_0_I_0_-_0_-_0_-_0_i_3_d_2_f_4_o_9_b_1_C_0_-_5_D_0_-_3_J_3_I	_5_I_5_H_2_F_4_B_3_i_0_-_3_h_5_j_1_c_6_G_4_J_4_E_2_A_4_E_5_I	0.370
2m0a_A	_2_f_0_-_4_o_9_b_0_-_1_C_5_D	_8_h_3_C_4_l_7_c_1_i_4_C_10_C	0.415
2cxj_A	_0_i_3_d_2_f_4_o_9_b	_0_i_1_e_10_h_10_i_11_c	0.581
2ex4_A	_0_I_0_i_3_d_0_-_2_f_4_o_9_b_0_-_0_-_1_C_5_D_0_-_3_J_3_I	_10_E_2_i_1_e_0_E_2_b_7_F_2_b_2_k_0_K_3_C_4_D_0_i_4_E_9_G	0.377
1k8k_F	_0_i_3_d_2_f_4_o_9_b_1_C_5_D_3_J_0_-_3_I	_0_l_17_c_0_-_0_-_3_b_4_C_5_F_2_F_5_l_17_E	0.403
2okf_A	_0_I_0_i_3_d_2_f_4_o_9_b_0_-_1_C_5_D	_3_G_0_-_0_d_0_-_0_-_1_b_1_h_5_B_4_C	0.357
1to3_A	_3_d_2_f_4_o_0_-_9_b_1_C_5_D_3_J_0_-_3_I	_0_c_0_-_29_m_4_A_5_e_10_A_1_E_2_G_5_e_4_G	0.456
1ic8_A	_0_i_3_d_2_f_4_o_9_b	_6_k_4_c_10_k_8_k_11_b	0.442
4j2h_A	_0_I_0_i_3_d_0_-_2_f_4_o_9_b_1_C	_1_G_8_c_1_d_12_b_1_g_0_-_1_b_6_C	0.517
1qdl_A	_0_I_0_-_0_i_3_d_0_-_2_f_4_o_9_b_1_C_5_D_3_J_3_I	_8_I_3_J_5_g_3_b_1_A_1_j_0_-_0_-_9_F_4_E_2_D_2_I	0.441
2pc6_A	_0_i_3_d_0_-_0_-_2_f_4_o_9_b_1_C_5_D	_3_c_2_d_3_E_2_D_4_i_0_-_2_b_0_C_5_C	0.404
5cv0_B	_3_d_0_-_2_f_0_-_4_o_0_-_0_-_9_b_1_C_5_D_3_J_3_I	_0_c_5_F_2_g_9_G_9_r_4_D_4_A_14_d_3_C_4_D_0_-_6_G	0.380
3a4g_A	_0_I_0_i_0_-_3_d_0_-_0_-_2_f_4_o_9_b_1_C	_2_E_2_g_4_A_2_c_2_b_11_b_4_i_4_o_0_-_6_A	0.384
6az1_a	_0_i_3_d_2_f_4_o_9_b_1_C_5_D	_0_h_1_b_7_d_4_k_0_-_3_E_4_D	0.461
1cm8_A	_2_f_4_o_0_-_9_b_1_C_5_D	_0_f_4_n_2_A_5_b_0_B_5_B	0.577
5d91_A	_0_i_3_d_2_f_4_o_9_b	_5_j_6_c_2_h_4_k_5_b	0.623
1g6s_A	_0_i_0_-_3_d_2_f_4_o_9_b_1_C_5_D_3_J_0_-_3_I	_4_i_4_F_2_d_3_h_0_-_0_-_4_B_8_D_4_F_4_j_4_H	0.504
1ozj_A	_2_f_4_o_9_b_1_C_5_D	_0_f_8_n_3_i_8_B_6_B	0.474
4z9f_C	_0_I_0_i_3_d_2_f_4_o_9_b_1_C	_1_G_0_-_10_e_1_i_8_j_4_b_3_C	0.509
1p1m_A	_0_I_0_i_3_d_0_-_2_f_4_o_9_b_1_C_0_-_5_D	_2_G_9_j_2_b_1_F_7_k_4_D_10_c_8_D_5_b_8_D	0.373
3zds_B	_0_I_0_i_3_d_2_f_4_o_9_b_1_C_5_D_3_J_3_I	_4_G_0_-_10_b_0_-_0_-_7_b_1_B_10_F_2_F_6_E	0.366
3b9n_B	_0_I_0_i_3_d_2_f_4_o_9_b_1_C_0_-_5_D	_1_I_3_j_4_j_17_g_0_-_2_b_2_E_1_l_3_D	0.558
6zek_C	_0_I_0_i_0_-_3_d_2_f_4_o_9_b_1_C_5_D	_3_H_10_j_2_E_2_e_4_c_0_-_2_b_2_C_11_D	0.638
1vjv_A	_0_i_3_d_2_f_4_o_9_b_1_C_5_D_3_J_3_I	_2_i_1_c_9_i_0_-_6_c_0_-_0_-_4_H_2_G	0.406
6npb_A	_0_I_0_i_0_-_3_d_0_-_0_-_2_f_4_o_0_-_9_b_1_C_5_D_3_J	_3_E_0_e_28_B_0_e_1_k_1_D_7_f_4_A_7_B_8_b_4_C_0_-_11_H	0.353
3zoh_D	_0_I_0_i_3_d_2_f_4_o_9_b_1_C_5_D_3_J_3_I	_4_E_4_h_1_E_2_i_0_-_9_b_2_B_5_B_4_K_2_K	0.394
3ed4_A	_0_I_0_-_0_i_3_d_2_f_4_o_9_b_1_C_0_-_0_-_5_D	_7_E_11_d_2_b_2_d_5_b_9_p_3_b_0_F_11_b_18_c_3_D	0.394
4nbt_A	_0_I_0_i_3_d_2_f_4_o_9_b_1_C	_1_H_0_-_5_c_3_h_9_j_1_b_6_C	0.560
7l6p_B	_0_i_3_d_0_-_2_f_4_o_9_b_1_C_5_D	_8_h_1_f_3_B_5_f_0_-_4_b_1_k_2_E	0.375
4jgg_A	_0_I_0_i_3_d_2_f_4_o_9_b_1_C_0_-_5_D	_0_E_0_-_1_c_5_b_1_j_0_-_5_C_7_l_3_D	0.355
3n1u_A	_3_d_0_-_2_f_4_o_9_b_1_C_0_-_5_D	_5_d_7_B_6_j_0_-_3_b_0_D_2_h_2_C	0.400
1yyv_A	_0_i_0_-_3_d_2_f_4_o_9_b_1_C_5_D	_1_j_2_A_0_d_7_i_0_-_0_-_2_E_5_E	0.376
1q2y_A	_2_f_4_o_9_b_1_C_5_D_3_J_3_I	_2_j_0_-_18_b_0_-_1_F_2_J_2_G	0.440
4k45_A	_9_b_1_C_0_-_5_D_3_J_3_I	_0_c_0_A_4_g_7_E_5_G_2_I	0.489
7q5q_X	_3_d_2_f_4_o_9_b_1_C_5_D_3_J_3_I	_2_b_0_-_2_l_5_b_5_D_18_D_3_F_2_K	0.444
3vc8_A	_0_i_3_d_2_f_4_o_9_b_1_C	_1_i_2_h_1_d_7_o_0_-_4_B	0.517
6ux3_B	_0_I_0_i_3_d_2_f_4_o_9_b_1_C	_1_G_0_-_5_c_19_j_0_-_1_b_6_C	0.445
4av3_A	_0_i_3_d_2_f_4_o_9_b_1_C_5_D	_5_j_0_-_9_g_6_q_0_-_1_C_2_C	0.484
1u5u_A	_0_I_0_i_3_d_2_f_4_o_9_b_1_C_5_D_3_J_3_I	_10_E_8_f_6_f_3_i_1_A_4_b_2_A_4_C_0_-_5_I	0.450
3hdo_A	_0_i_3_d_2_f_4_o_9_b_0_-_1_C_0_-_5_D_3_J	_11_j_4_c_7_j_0_-_3_b_5_j_5_D_5_h_2_D_18_D	0.449
2ghs_A	_9_b_1_C_5_D_3_J_3_I	_0_b_1_E_4_E_5_E_2_E	0.497
1ww4_A	_9_b_1_C_5_D_0_-_3_J_3_I	_1_c_7_F_3_E_2_C_9_G_9_G	0.437
2pos_A	_0_i_3_d_2_f_4_o_9_b_1_C_5_D	_1_i_0_-_12_g_2_j_0_-_7_C_2_B	0.388
4yod_A	_0_I_0_i_3_d_0_-_2_f_4_o_0_-_9_b_1_C_5_D	_4_E_5_j_2_g_3_F_4_i_0_-_5_C_4_d_9_D_4_D	0.389
2qio_A	_0_I_0_i_3_d_2_f_4_o_9_b_1_C_5_D	_1_G_0_-_6_c_3_j_8_j_1_b_0_-_5_D	0.439
1syy_A	_0_i_3_d_2_f_4_o_9_b	_19_j_4_b_3_g_5_p_5_b	0.692
2o97_B	_2_f_4_o_9_b_1_C_5_D_3_J_3_I	_0_i_4_n_0_-_4_B_3_E_0_-_4_E	0.367
4xk1_A	_0_I_0_i_3_d_2_f_0_-_4_o_0_-_9_b_1_C_0_-_5_D	_9_E_0_b_9_b_1_e_9_l_2_o_3_A_4_b_4_E_2_k_14_C	0.408
6lw5_A	_0_i_0_-_3_d_2_f_4_o_9_b_1_C_5_D	_2_h_8_u_1_f_2_f_1_h_2_e_0_D_5_D	0.412
1h5r_A	_0_I_0_i_0_-_0_-_3_d_2_f_0_-_0_-_4_o_0_-_9_b_1_C_5_D_3_J_3_I	_2_G_4_g_3_b_2_E_8_d_1_c_4_D_3_B_3_i_4_F_3_b_1_D_5_E_0_-_8_H	0.381
7kpi_A	_9_b_1_C_5_D_3_J_0_-_3_I	_2_b_8_A_3_D_3_G_5_b_2_I	0.606
6yy3_B	_0_i_3_d_2_f_4_o_9_b	_0_i_24_e_31_b_18_q_1_c	0.547
3tl6_B	_2_f_4_o_0_-_9_b_1_C_5_D_0_-_3_J_3_I	_2_j_0_-_1_F_1_b_2_E_2_F_4_k_4_I_9_H	0.376
5wzo_A	_0_i_3_d_2_f_4_o_9_b_1_C_5_D	_0_i_3_b_0_-_18_m_0_-_10_C_4_C	0.452
3h4o_A	_0_I_0_i_3_d_0_-_2_f_0_-_4_o_9_b	_8_F_14_i_2_c_6_A_4_f_6_F_13_c_3_b	0.417
2nwq_B	_0_I_0_i_0_-_3_d_2_f_4_o_9_b_1_C_0_-_0_-_0_-_5_D	_3_E_2_j_5_D_9_c_0_-_0_-_3_b_4_C_10_b_2_d_8_l_4_D	0.354
1wpu_A	_0_i_3_d_0_-_2_f_4_o_9_b_1_C_5_D_0_-_3_J_3_I	_1_h_8_f_3_H_2_k_9_m_6_b_0_-_2_J_5_b_2_J_6_J	0.408
1ll3_A	_0_I_0_i_0_-_3_d_2_f_4_o_9_b_1_C_5_D_0_-_3_J_3_I	_5_E_5_i_2_C_10_e_1_k_0_-_0_-_5_D_3_B_4_d_4_C_7_G	0.381
3ip5_A	_0_i_0_-_3_d_2_f_4_o_9_b_1_C_5_D	_3_i_3_C_3_b_1_j_8_m_4_i_23_F_5_E	0.422
2inf_A	_0_I_0_i_3_d_2_f_4_o_0_-_9_b_0_-_0_-_1_C_0_-_5_D	_5_E_1_i_0_-_7_h_1_p_4_D_3_b_2_f_1_k_3_C_4_g_5_B	0.383
3czk_A	_0_I_0_i_3_d_0_-_2_f_4_o_9_b_1_C_5_D_3_J_3_I	_2_E_2_b_5_d_7_d_5_d_7_m_2_b_5_B_7_E_0_-_3_E	0.487
1te0_A	_9_b_1_C_0_-_5_D_3_J_3_I	_0_c_4_D_5_I_4_D_22_D_9_G	0.381
5wch_D	_0_i_3_d_2_f_4_o_0_-_9_b_1_C_5_D_0_-_0_-_3_J_3_I	_6_j_0_-_2_f_5_p_5_A_2_e_1_A_2_A_8_m_5_e_1_H_5_G	0.430
4juk_A	_0_i_3_d_0_-_2_f_4_o_9_b_0_-_1_C_5_D_3_J_3_I	_5_e_2_e_8_B_16_g_2_G_3_b_10_E_2_B_4_B_10_E_6_H	0.413
1qfh_A	_9_b_1_C_5_D_3_J_3_I	_4_b_5_E_15_F_3_G_4_H	0.648
1smo_A	_9_b_1_C_5_D_0_-_3_J_3_I	_2_c_4_E_6_D_10_B_2_E_4_E	0.381
2aaa_A	_3_d_0_-_2_f_4_o_9_b_1_C_5_D_3_J_0_-_3_I	_2_c_12_b_7_e_0_-_1_d_5_C_3_B_15_F_6_j_4_E	0.424
2huf_A	_0_I_0_i_3_d_2_f_0_-_4_o_9_b_1_C_0_-_0_-_0_-_5_D	_12_D_1_g_8_b_1_f_15_m_1_o_8_b_4_D_6_j_1_A_5_b_3_D	0.423
4fuk_B	_2_f_4_o_0_-_0_-_9_b_1_C_5_D_3_J_3_I	_0_e_21_o_6_k_3_A_4_b_5_C_2_B_12_J_2_J	0.584
2p6h_A	_0_I_0_i_3_d_2_f_4_o_9_b_1_C_0_-_5_D_3_J	_5_E_3_l_6_c_4_i_0_-_0_-_2_F_2_A_6_E_5_J	0.425
4ex6_A	_0_I_0_i_3_d_0_-_2_f_4_o_9_b_1_C_0_-_5_D	_2_E_4_j_1_b_3_B_12_i_0_-_3_b_0_D_2_h_3_D	0.492
1u19_A	_0_i_3_d_2_f_0_-_4_o_9_b_1_C_5_D	_6_l_0_-_6_h_5_u_10_n_1_b_6_B_4_B	0.417
4yyc_A	_0_i_3_d_0_-_0_-_2_f_0_-_0_-_4_o_9_b_1_C_5_D	_11_g_2_c_1_e_4_D_10_g_3_D_1_B_7_o_0_-_5_C_1_D	0.408
3te8_A	_3_d_2_f_4_o_9_b_1_C_0_-_0_-_5_D_3_J_3_I	_0_c_0_-_5_m_3_l_2_C_6_B_4_k_5_D_2_I_2_F	0.439
4k61_A	_2_f_4_o_9_b_1_C_5_D_3_J_3_I	_7_h_0_-_1_c_3_D_7_E_7_D_5_E	0.371
2k2n_A	_0_I_0_i_0_-_3_d_2_f_4_o_9_b_1_C_5_D	_7_F_20_g_3_A_3_b_28_g_0_-_0_-_5_C_10_F	0.386
5g5d_A	_9_b_1_C_5_D_3_J_0_-_3_I	_22_b_4_A_0_-_7_G_2_e_7_I	0.419
1o0w_A	_0_i_3_d_2_f_0_-_4_o_0_-_9_b_1_C_5_D_3_J_3_I	_2_i_2_c_4_d_2_b_1_n_1_n_7_k_0_-_4_G_6_G_2_G	0.400
5xd0_A	_0_i_0_-_0_-_3_d_2_f_4_o_9_b_1_C_5_D	_7_j_5_A_4_A_16_b_2_j_3_n_0_-_10_C_2_C	0.429
2gcu_C	_0_I_0_-_0_i_3_d_2_f_4_o_9_b_1_C_5_D_3_J_3_I	_4_G_6_D_3_k_3_E_11_f_4_D_0_b_5_B_4_C_2_F_8_D	0.376
1svd_M	_4_o_0_-_9_b_1_C_5_D_3_J_3_I	_0_k_3_F_1_b_6_B_9_k_4_G_4_H	0.406
1dmt_A	_0_I_0_i_3_d_2_f_4_o_9_b_0_-_1_C_0_-_0_-_5_D	_2_I_0_-_8_d_2_p_6_o_3_b_3_c_2_B_0_f_11_j_8_C	0.431
1ht6_A	_0_i_3_d_2_f_4_o_9_b_1_C_0_-_5_D_0_-_0_-_3_J_3_I	_1_i_4_c_9_c_0_-_1_b_0_C_16_k_3_D_0_d_4_k_8_F_2_E	0.478
5opt_u	_0_i_3_d_2_f_4_o_9_b	_5_g_8_c_18_h_29_l_3_f	0.556
4nnr_B	_0_I_0_i_3_d_2_f_4_o_9_b_1_C_0_-_5_D_0_-_3_J	_0_I_0_-_4_C_0_-_0_-_1_b_3_C_7_e_8_E_1_b_16_J	0.383
