3cwb_F	_4_j_2_c_1_c_0_-_2_m_2_c_2_c_7_m	_0_k_1_c_3_b_5_h_2_n_5_b_3_b_5_m	0.657
5cyu_A	_4_E_5_k_8_C_8_j_9_D_6_e_0_-_1_d_0_-_5_F_2_b_2_c_3_C_4_j_0_-_2_c	_4_E_0_-_4_D_0_-_2_C_5_f_8_A_2_e_31_C_5_D_0_-_0_-_2_D_1_i_9_A_3_c	0.362
3lga_A	_4_E_0_-_5_k_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C_4_j	_5_D_3_f_9_j_6_D_5_i_4_E_2_k_0_-_6_D_2_b_0_-_6_E_4_j	0.478
1i1q_B	_0_i_4_E_5_k_8_C_0_-_8_j_9_D_6_e_1_d_5_F_2_b_0_-_2_c_0_-_3_C_4_j	_5_i_3_E_5_f_5_D_6_b_3_g_5_C_1_h_0_-_11_F_3_b_6_D_10_E_2_F_4_C_11_j	0.490
3u80_A	_4_E_5_k_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C_4_j	_0_F_5_l_2_F_3_k_3_C_8_j_0_-_4_D_0_-_0_-_12_C_4_k	0.529
4hea_R	_2_m_2_c_2_c_7_m_2_k_3_l	_3_o_4_d_9_i_15_n_15_g_4_o	0.462
1gyc_A	_0_i_0_-_4_E_5_k_8_C_8_j_9_D_0_-_6_e_1_d_5_F_0_-_2_b_2_c_3_C_0_-_4_j_2_c	_11_e_14_C_4_F_0_-_10_C_0_-_4_D_13_A_1_B_3_b_2_F_4_F_0_-_2_d_3_E_1_f_4_j_3_c	0.358
1n0e_A	_4_E_5_k_8_C_8_j_9_D_0_-_6_e_1_d_5_F_2_b_2_c_3_C_4_j_2_c	_9_B_1_j_0_-_7_j_4_B_5_B_2_e_0_-_6_D_0_-_0_-_4_D_0_h_4_e	0.408
1g2t_A	_0_i_4_E_5_k_8_C_8_j_9_D_6_e	_0_b_0_E_0_-_9_D_0_-_4_C_4_h	0.403
5o7y_A	_4_E_0_-_5_k_8_C_8_j_9_D_6_e_1_d_0_-_5_F_0_-_2_b_2_c_3_C_4_j_2_c	_5_E_6_D_0_-_2_C_0_-_7_D_1_e_0_-_9_B_7_H_5_A_3_b_0_-_12_A_0_i_7_c	0.373
3m0g_A	_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C_4_j_2_c_0_-_0_-_1_c_2_m_2_c_2_c_7_m_2_k_3_l_6_k_3_b_2_c_2_i	_0_k_0_-_0_-_2_c_0_-_0_-_5_c_0_-_10_j_8_l_7_A_2_A_1_c_2_m_3_b_0_-_2_l_5_h_8_g_5_k_4_m_6_d_3_l	0.378
4fkd_A	_4_E_5_k_8_C_8_j_9_D_0_-_6_e_1_d_5_F	_0_E_0_-_4_C_0_-_21_C_5_A_1_e_0_-_4_F	0.509
4ywj_A	_0_i_4_E_0_-_0_-_0_-_0_-_5_k_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_0_-_3_C_0_-_0_-_4_j_0_-_2_c	_4_j_5_F_11_c_8_B_2_c_5_C_3_k_3_C_6_i_4_C_5_n_0_-_1_G_9_k_4_c_0_A_14_F_5_H_2_H_3_k_6_B_1_c	0.355
6is1_H	_4_E_5_k_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C_4_j	_0_D_3_k_3_D_2_i_4_C_8_j_0_-_4_D_0_-_4_h_4_C_4_j	0.636
1pgj_A	_0_i_0_-_4_E_5_k_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C_4_j_2_c_1_c_2_m_2_c_2_c_7_m_2_k_3_l_6_k_3_b_2_c_2_i	_3_i_6_b_0_B_3_f_5_C_5_k_5_C_5_j_0_-_4_G_0_-_1_f_2_E_1_k_0_-_18_s_4_k_6_j_8_c_0_-_9_j_4_k_1_i_19_t_5_e_12_i	0.467
2chu_B	_4_E_5_k_8_C_8_j_0_-_9_D_0_-_6_e_1_d_5_F_2_b_0_-_0_-_0_-_0_-_0_-_2_c_0_-_3_C_4_j_0_-_2_c_1_c_2_m_2_c_2_c_0_-_7_m	_4_D_0_-_5_B_2_h_3_b_0_C_1_b_2_e_13_e_4_C_4_g_4_B_7_k_4_n_6_G_2_D_7_c_4_A_8_B_1_f_3_E_0_d_5_c_0_-_3_d_1_c_3_C_12_l	0.362
3hix_A	_4_E_0_-_5_k_8_C_8_j_9_D_6_e	_0_C_3_d_8_j_6_C_3_k_5_B_3_f	0.655
5wtp_A	_0_i_4_E_5_k_8_C_8_j_0_-_9_D_6_e_1_d_5_F	_0_j_0_-_14_k_7_E_6_o_4_b_0_F_10_f_0_-_1_F	0.524
2ozx_A	_0_i_4_E_5_k_0_-_8_C_8_j_9_D	_1_b_6_F_6_l_1_J_7_C_10_j_5_B	0.534
2c0r_A	_0_i_0_-_0_-_4_E_5_k_8_C_8_j_9_D_6_e_1_d_5_F_0_-_0_-_0_-_2_b_2_c_3_C_0_-_4_j_2_c_1_c_2_m_2_c_0_-_2_c_7_m_2_k_0_-_0_-_3_l	_9_h_11_b_5_m_6_E_2_k_5_E_2_k_2_E_1_b_7_b_6_F_1_A_4_A_11_C_11_b_0_-_2_D_10_E_0_b_9_b_1_e_9_l_2_o_6_A_3_b_4_D_3_k_2_A_10_C_6_n	0.374
7lkl_A	_0_i_4_E_5_k_8_C_8_j_0_-_9_D_6_e_1_d_5_F_2_b_2_c_0_-_0_-_0_-_3_C_4_j_0_-_2_c_0_-_1_c_2_m	_0_j_4_F_5_k_5_C_10_j_4_k_5_D_1_d_3_j_3_C_4_b_1_h_3_A_2_A_5_i_4_C_16_h_5_C_5_h_4_C_1_h_4_m	0.476
3mb8_A	_0_i_4_E_0_-_5_k_8_C_8_j_0_-_9_D_6_e_0_-_1_d_5_F_2_b_2_c_3_C_4_j_0_-_2_c_1_c_2_m	_2_g_4_G_2_G_0_-_2_F_4_k_4_I_10_H_2_e_6_A_2_k_4_F_0_-_13_d_4_B_2_i_3_G_3_e_0_-_7_p	0.395
2h7a_A	_4_E_5_k_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C	_0_E_0_-_6_C_0_-_0_-_10_f_0_-_2_F_0_-_12_i_2_C	0.370
1tdp_A	_2_m_2_c_2_c_7_m_2_k_3_l_6_k_3_b_2_c_2_i	_0_k_2_c_0_-_2_l_0_-_4_m_0_-_10_b_0_-_1_j	0.407
4nh2_A	_8_j_9_D_6_e_0_-_1_d_5_F_2_b_2_c_3_C_0_-_4_j_2_c_1_c_2_m_2_c_2_c_7_m_2_k_3_l_6_k_3_b	_0_l_0_-_6_d_4_o_5_d_22_A_0_-_0_-_2_A_0_p_5_j_5_g_3_c_14_j_0_-_5_p_4_s_4_l_8_n_2_n_2_b	0.360
4uc1_A	_4_j_2_c_1_c_2_m_2_c_2_c_7_m_2_k_3_l	_0_i_1_g_5_d_11_n_0_-_0_-_6_m_8_p_3_q	0.428
2ptd_A	_0_i_0_-_4_E_5_k_8_C_0_-_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C_0_-_4_j_2_c_1_c_2_m_0_-_2_c_2_c	_5_f_6_d_5_G_0_-_5_D_2_E_0_k_5_F_11_g_15_c_3_E_0_-_0_-_19_D_5_D_6_l_7_E_0_-_12_n_6_C_10_f_2_c	0.379
4jn6_B	_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C_4_j_0_-_2_c_1_c_2_m_0_-_2_c_2_c_7_m_2_k_0_-_0_-_3_l	_0_E_3_j_4_F_6_g_0_-_3_B_0_-_3_c_8_C_3_k_2_C_11_g_4_B_3_k_7_G_0_b_2_d_0_-_1_k_6_G_7_H_5_l	0.424
2e74_B	_2_c_2_c_7_m_2_k_3_l_6_k	_0_h_11_c_3_n_21_j_4_p_9_n	0.540
4af3_A	_0_i_4_E_5_k_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C_4_j_2_c_1_c_2_m_2_c_0_-_0_-_2_c_7_m_2_k_3_l_6_k_3_b_2_c_2_i	_0_b_0_E_0_-_6_G_0_-_5_G_0_f_2_j_9_E_0_-_0_-_3_F_6_g_0_-_0_-_4_n_9_b_0_B_5_B_9_c_7_l_9_h_0_-_11_i_4_b_3_d_2_e	0.354
3q85_A	_4_E_5_k_8_C_8_j_9_D_6_e_0_-_1_d_0_-_5_F_2_b_2_c_3_C_4_j	_0_F_6_h_3_G_0_-_2_G_6_d_2_F_3_d_1_j_7_E_4_b_4_i_3_C_8_k	0.520
1x9f_A	_4_j_2_c_1_c_2_m_2_c_2_c_7_m_2_k_3_l_6_k	_0_k_0_-_0_-_6_m_1_f_0_-_11_m_5_l_6_m_5_l	0.543
5hgk_A	_5_F_2_b_2_c_3_C_4_j_2_c_1_c_2_m_2_c_2_c_7_m	_0_B_0_-_0_-_5_B_4_k_5_g_5_h_5_o_17_c_6_g_7_o	0.457
1rl1_A	_4_E_5_k_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C	_3_E_6_b_0_C_0_-_5_E_0_-_0_-_5_E_7_b_0_-_0_D	0.367
1vhq_A	_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C_4_j_2_c_1_c_2_m_2_c	_0_D_11_k_3_E_0_-_21_d_8_A_0_b_2_b_2_B_0_-_5_c_4_f_0_-_4_g	0.392
2ok3_A	_4_E_0_-_5_k_0_-_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C_4_j	_0_E_2_F_5_j_10_B_3_C_0_-_32_C_0_-_0_-_11_C_4_b_0_-_5_F_1_g	0.394
1ukh_A	_4_E_5_k_8_C_8_j_9_D_0_-_6_e_1_d_5_F_0_-_2_b_2_c_0_-_3_C_4_j_2_c_1_c_2_m_2_c_2_c_7_m_2_k_3_l_6_k_3_b_2_c_2_i	_4_G_6_l_8_D_0_-_12_D_3_A_0_c_6_n_13_B_5_B_0_-_9_c_8_l_0_-_9_j_4_d_3_f_0_-_10_c_2_b_0_-_3_k_4_b_3_e_4_b_2_c_8_j	0.454
4be4_A	_0_i_4_E_5_k_8_C_0_-_8_j_9_D_6_e_1_d_0_-_5_F_2_b_0_-_2_c_3_C_4_j_2_c_1_c_2_m_2_c_0_-_2_c_7_m_2_k_3_l_6_k_0_-_3_b_0_-_2_c_0_-_0_-_2_i	_1_b_11_F_0_-_8_F_9_b_3_h_5_D_5_c_3_d_5_n_1_J_1_l_2_A_2_A_3_D_12_k_7_d_4_h_0_-_27_e_8_E_4_c_8_j_6_g_24_h_5_k_5_E_16_c_8_l_15_c_1_D_4_D_4_h	0.361
4dal_A	_0_i_4_E_5_k_8_C_0_-_0_-_8_j_0_-_9_D_6_e_1_d_5_F_0_-_2_b_2_c_3_C_0_-_4_j_2_c_0_-_1_c_2_m_2_c_0_-_2_c	_10_e_3_D_6_k_5_B_9_c_7_B_2_k_4_B_4_D_5_j_2_c_5_F_0_l_9_b_8_l_4_C_14_C_0_-_6_c_6_F_5_e_6_D_8_c_4_C_13_b	0.368
5hdk_D	_5_k_0_-_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_0_-_3_C_4_j_2_c	_0_j_1_b_3_B_0_-_6_B_2_f_1_d_0_-_0_-_4_i_3_A_16_C_0_-_8_e	0.377
2han_B	_4_E_5_k_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c	_0_B_0_-_2_B_1_j_0_-_18_b_2_i_0_-_4_b_5_e	0.366
3wc4_A	_0_i_4_E_0_-_5_k_8_C_8_j_9_D_6_e_0_-_0_-_1_d_0_-_0_-_5_F_0_-_0_-_0_-_2_b_2_c_3_C_4_j_0_-_2_c_1_c_2_m_2_c_0_-_2_c_0_-_7_m_0_-_2_k_3_l_6_k	_0_g_8_E_15_f_2_l_5_D_4_h_3_D_3_g_1_i_17_b_2_c_7_f_1_f_2_C_3_b_2_i_3_B_6_b_9_e_6_D_8_k_3_C_2_e_4_d_3_C_4_d_4_E_3_h_4_B_6_e_8_B_7_j_2_n_5_l	0.359
2onf_A	_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C_0_-_4_j_2_c_1_c	_0_C_0_-_4_E_0_-_0_-_2_E_2_b_8_o_4_K_5_K_1_e_5_d_1_e	0.353
3w5j_A	_0_i_0_-_4_E_5_k_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C_4_j_2_c_1_c_2_m	_5_h_4_A_9_G_0_-_2_F_11_j_4_F_0_l_0_-_4_E_1_e_6_g_3_B_4_j_6_g_0_-_1_m	0.483
3asz_A	_4_E_5_k_8_C_0_-_0_-_0_-_8_j_0_-_0_-_0_-_0_-_9_D_6_e_1_d_5_F_0_-_0_-_2_b_2_c_3_C_4_j_2_c	_0_F_5_l_0_D_0_b_9_e_5_b_2_j_4_B_2_A_4_A_4_B_4_D_0_-_7_c_4_E_2_l_4_f_5_b_5_e_2_C_5_j_1_d	0.416
6m8t_A	_4_E_5_k_8_C_8_j_9_D_6_e_1_d_5_F_2_b_0_-_2_c_0_-_3_C_4_j_2_c_1_c_2_m	_0_E_5_k_3_E_1_i_0_-_6_d_0_-_2_C_6_b_8_E_1_h_5_j_4_D_6_j_3_A_0_-_13_l	0.524
1nfj_A	_4_E_5_k_8_C_8_j_9_D	_0_C_5_k_4_F_2_j_9_J	0.599
1qkl_A	_4_E_5_k_8_C_8_j_9_D_6_e_1_d_5_F	_0_E_18_m_0_-_15_h_4_F_0_-_0_-_3_E	0.400
2okq_A	_0_i_4_E_5_k_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C	_0_e_3_I_0_n_0_-_0_-_4_E_0_-_11_c_6_I_2_j_2_d_12_E	0.373
1tqy_A	_4_E_5_k_8_C_8_j_9_D_0_-_6_e_1_d_5_F_2_b_2_c_3_C_4_j_2_c_1_c_0_-_0_-_2_m_0_-_2_c_2_c_0_-_0_-_7_m_0_-_2_k_3_l_0_-_6_k_3_b_0_-_2_c_2_i	_0_I_0_-_2_A_1_i_4_B_12_B_5_c_3_e_0_-_2_m_8_b_0_E_5_j_9_b_5_c_3_i_5_C_2_m_4_G_4_h_10_b_13_A_1_H_0_e_6_I_12_k_3_b_2_B_6_k_1_e_2_A_2_c_6_l	0.359
5t6u_A	_0_i_4_E_5_k_8_C_0_-_8_j_9_D_6_e_1_d_0_-_0_-_5_F_0_-_2_b_2_c_3_C	_3_j_2_B_16_b_0_B_4_B_5_i_3_D_0_-_4_c_5_A_11_J_2_F_11_D_5_b_0_-_5_B	0.451
1p1j_A	_4_E_5_k_8_C_8_j_9_D_6_e_1_d_5_F_0_-_2_b_2_c_3_C_0_-_4_j_2_c_1_c_2_m_0_-_2_c_2_c_7_m_0_-_2_k_0_-_3_l_0_-_0_-_6_k_3_b_0_-_2_c	_6_E_4_k_4_B_0_-_2_B_0_-_7_c_1_E_5_D_0_b_6_b_0_E_6_g_4_j_11_b_2_e_17_m_5_D_17_h_0_-_7_j_4_B_8_i_3_B_6_k_3_J_2_e_2_k_2_d_14_G_1_b	0.438
4ac9_A	_4_E_5_k_8_C_0_-_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C_4_j	_0_H_5_h_5_C_2_E_4_j_5_F_6_j_0_-_4_E_1_b_2_l_10_B_8_k	0.450
3glv_A	_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C_4_j	_0_E_6_j_4_E_2_e_8_g_7_C_0_-_5_g_3_C_4_k	0.634
1tuw_A	_4_E_5_k_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C_4_j_0_-_2_c	_0_H_1_k_0_-_4_d_3_F_0_-_0_-_2_G_0_-_4_e_0_-_4_j_2_B_7_c	0.369
2bl5_A	_4_E_5_k_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C_4_j_2_c_1_c	_0_E_10_d_0_-_4_j_1_E_7_d_5_c_6_E_0_-_4_m_0_-_9_f_1_b_7_c	0.477
6avv_A	_4_E_5_k_0_-_8_C_8_j_9_D_6_e_1_d_5_F_0_-_2_b_2_c_3_C_4_j_0_-_2_c_1_c_2_m_2_c_2_c_0_-_7_m	_0_D_6_i_3_c_2_B_0_-_5_C_0_-_0_b_2_C_17_n_4_b_0_-_0_E_1_j_7_D_7_e_4_b_2_E_7_d_1_f_4_E_8_l	0.438
1rxw_A	_0_i_4_E_5_k_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_0_-_3_C_4_j_0_-_2_c_1_c_2_m_0_-_2_c_2_c_7_m_2_k_3_l_6_k_3_b_2_c_2_i	_0_c_3_A_2_c_3_D_0_j_0_-_17_d_5_e_2_E_5_r_4_g_4_k_4_B_4_i_5_B_4_c_0_-_4_C_8_C_0_g_0_-_0_-_3_j_12_j_2_g_3_g_16_d_10_j	0.361
1ujk_A	_2_c_2_c_7_m_2_k_3_l_0_-_6_k_3_b_2_c_2_i	_0_b_4_g_9_j_5_k_4_l_4_f_2_j_5_b_2_m_4_j	0.549
5u9p_C	_0_i_4_E_5_k_8_C_8_j_9_D_6_e_1_d_0_-_5_F_2_b_2_c_3_C_4_j_2_c_1_c_2_m_2_c_0_-_2_c	_5_j_3_E_2_k_4_D_5_k_5_C_9_b_2_g_5_l_2_E_2_b_7_p_1_G_5_f_0_-_2_i_8_j_1_b_6_C_3_b	0.462
5lnk_2	_0_i_4_E_5_k_8_C_8_j_0_-_9_D_6_e_1_d_5_F_2_b_2_c_3_C_4_j	_0_j_0_-_8_k_0_-_5_j_3_i_11_E_3_c_2_j_12_E_0_-_0_-_11_A_10_k	0.442
4pug_B	_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C_4_j_2_c	_0_k_3_E_0_-_1_b_6_F_1_b_0_-_0_-_4_j_1_c	0.542
3kz7_A	_4_E_5_k_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c	_12_H_0_-_5_C_0_-_14_C_7_f_0_-_7_E_1_b_7_b	0.452
6l7j_A	_0_i_4_E_5_k_8_C_8_j_0_-_0_-_9_D_6_e_1_d_5_F_2_b_2_c_3_C_4_j_2_c_1_c_2_m	_8_h_6_E_4_k_6_F_13_h_3_G_11_I_7_E_0_-_0_-_2_E_0_-_3_n_8_C_4_j_7_i_0_-_5_l	0.404
1vpy_A	_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_0_-_3_C_4_j_0_-_2_c	_0_C_6_f_2_A_2_c_4_h_6_A_12_b_8_d_4_b_5_C_8_k_5_C_3_c	0.510
2ca1_A	_1_d_5_F_2_b_2_c_3_C_4_j_2_c_1_c	_0_d_0_-_3_b_9_c_0_-_13_h_1_f_5_a	0.443
3m73_A	_7_m_0_-_2_k_3_l_6_k_0_-_3_b_2_c_2_i	_0_m_8_s_1_h_3_n_4_o_1_d_5_b_2_c_5_j	0.429
2p7l_C	_8_C_8_j_9_D_6_e_1_d_0_-_5_F_2_b_2_c_3_C_4_j_0_-_0_-_2_c	_0_E_2_j_3_G_0_-_0_b_1_H_2_F_0_-_0_-_11_C_2_k_17_D_5_D_3_e	0.435
4ixp_A	_4_E_5_k_8_C_8_j_9_D_0_-_6_e_0_-_1_d_5_F_0_-_2_b_2_c_3_C_0_-_4_j_2_c_1_c_2_m_2_c_2_c_7_m_2_k_3_l_6_k_3_b_0_-_2_c_2_i	_4_H_0_m_10_E_0_-_3_F_4_A_0_d_7_n_9_b_0_B_5_B_0_-_0_-_6_C_4_C_0_-_2_e_0_-_0_-_2_d_0_-_5_m_9_i_0_-_10_i_4_b_3_d_2_c_19_j	0.390
3zhg_A	_4_E_5_k_8_C_8_j_0_-_9_D_6_e_1_d_5_F_2_b_2_c_3_C	_2_D_6_h_4_A_5_k_2_I_2_C_7_e_0_-_13_D_0_-_0_-_2_D	0.427
1bkh_B	_0_i_4_E_5_k_8_C_0_-_8_j_9_D_6_e_0_-_1_d_5_F_2_b_2_c_0_-_3_C_4_j_2_c	_5_k_5_D_5_m_1_D_3_A_1_k_5_A_7_i_4_B_6_i_4_C_0_-_1_c_2_k_2_C_6_j_13_c	0.419
5v6d_A	_4_E_5_k_8_C_8_j_9_D_6_e_1_d_0_-_5_F_2_b_2_c_3_C_4_j_2_c	_0_G_1_d_0_-_3_h_4_G_3_f_1_b_5_h_3_H_1_h_12_d_8_B_3_j_2_b	0.485
6lkb_B	_4_E_0_-_5_k_0_-_8_C_8_j_9_D_0_-_6_e_1_d_5_F_2_b_2_c_3_C	_0_E_2_F_5_j_10_B_3_C_0_-_32_C_11_C_4_b_0_-_5_F_0_-_1_g_14_F	0.452
1pg5_A	_0_i_4_E_5_k_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C_4_j_2_c_0_-_1_c_2_m	_4_g_4_E_5_l_6_E_5_j_4_D_2_b_3_c_6_C_2_b_1_b_2_D_9_j_3_d_6_B_10_d_5_n	0.731
1lv7_A	_0_i_0_-_4_E_5_k_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C_4_j_2_c_1_c_2_m_2_c_2_c_7_m_2_k	_1_g_1_b_5_D_6_j_3_C_13_j_4_D_2_c_13_k_7_F_0_-_7_c_6_C_5_j_10_e_0_-_0_-_0_-_0_-_6_m_7_j	0.560
2jn6_A	_2_b_2_c_3_C_4_j_2_c_1_c_2_m_2_c_2_c	_2_b_2_g_0_-_3_j_12_c_1_h_0_-_1_e_6_c	0.505
3fjv_A	_4_E_0_-_5_k_8_C_8_j_0_-_9_D_0_-_6_e_1_d_5_F_2_b_2_c_3_C_0_-_4_j	_3_D_2_h_9_k_5_G_4_i_3_b_1_D_5_A_1_A_5_d_4_F_0_-_5_c_4_D_6_D_2_g	0.450
1ixc_A	_0_i_0_-_4_E_0_-_5_k_8_C_8_j_9_D_0_-_6_e_1_d_5_F_2_b_2_c_3_C_4_j_0_-_2_c_0_-_1_c_0_-_0_-_2_m	_2_e_10_s_3_F_2_c_1_j_3_E_2_i_4_C_8_L_0_e_0_-_3_A_0_-_1_c_3_C_8_j_5_D_3_f_5_D_0_c_6_E_5_H_5_k	0.387
1jbk_A	_0_i_4_E_0_-_5_k_8_C_8_j_0_-_9_D_6_e_1_d_0_-_5_F_2_b_2_c_3_C_4_j_2_c_1_c_2_m_2_c	_0_e_0_B_0_e_10_j_6_D_6_k_4_b_3_D_0_-_1_d_5_m_4_E_1_c_6_h_5_D_0_-_1_c_7_c_2_D_5_d	0.529
5irc_A	_2_b_2_c_3_C_4_j_2_c_1_c_2_m_2_c_2_c_7_m_2_k_3_l_6_k_3_b_0_-_2_c_0_-_2_i	_0_b_7_c_0_-_8_k_0_-_0_-_13_k_0_-_0_-_12_k_7_j_4_j_4_m_2_c_3_e_2_d_6_d_2_j	0.420
1tm1_I	_0_i_4_E_5_k_8_C_8_j_9_D	_4_j_4_E_0_-_12_E_4_A_4_B	0.379
2ov8_A	_4_E_5_k_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C_4_j_2_c_1_c_2_m_2_c_0_-_2_c_7_m_2_k_3_l_6_k_3_b_2_c_2_i	_0_E_5_k_0_-_6_f_0_-_3_f_0_-_11_D_0_-_6_e_3_G_2_h_9_g_14_g_0_-_3_b_5_E_0_e_0_-_1_j_8_f_4_j_0_-_14_g_4_g	0.373
1hjq_A	_0_i_4_E_5_k_8_C_8_j_9_D_6_e_1_d_5_F_0_-_2_b_2_c_3_C_4_j_0_-_2_c_1_c_2_m_0_-_2_c_0_-_2_c	_14_f_4_E_10_k_3_E_21_o_5_C_17_l_0_-_8_E_5_k_4_b_0_-_2_D_10_l_2_E_15_b_0_-_6_m_3_F_4_b_17_A_1_h	0.422
4zds_B	_2_c_3_C_4_j_2_c_1_c_2_m_2_c_2_c_7_m_2_k_0_-_3_l	_0_d_0_-_4_k_4_b_2_b_0_-_14_c_13_b_2_l_3_h_2_e_2_m	0.542
4mno_A	_4_E_5_k_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C_4_j_2_c	_0_I_0_-_2_E_0_-_4_D_0_-_2_c_9_E_0_-_0_-_7_F_2_h_5_e	0.385
5szg_A	_4_j_2_c_1_c_2_m_2_c_2_c_7_m_2_k_3_l	_7_i_2_d_0_-_2_n_4_b_0_-_0_-_2_j_2_n	0.446
2wo6_B	_4_E_5_k_0_-_8_C_8_j_9_D_6_e_0_-_0_-_1_d_5_F_0_-_0_-_2_b_2_c_3_C_4_j_2_c_1_c_0_-_2_m_2_c_2_c_7_m_2_k_3_l_6_k_3_b_2_c	_4_G_3_m_5_d_3_F_0_-_2_F_5_f_7_m_6_A_5_b_0_B_7_B_6_A_10_b_2_c_7_l_9_j_4_c_5_c_0_B_5_B_12_c_7_b_0_-_0_-_0_-_9_k_10_c_3_c	0.396
1nb9_A	_9_D_6_e_0_-_1_d_5_F_0_-_2_b_2_c_3_C_0_-_4_j_2_c_1_c	_0_E_8_c_4_A_2_d_8_H_5_H_0_-_0_-_8_F_11_J_7_m_3_g_1_c	0.369
7ml4_D	_2_c_7_m_2_k_3_l_6_k_3_b_2_c_2_i	_0_b_21_o_2_l_5_k_6_j_4_h_5_f_9_k	0.563
1ylw_A	_5_k_8_C_8_j_9_D_0_-_6_e_1_d_5_F_2_b_2_c_3_C_4_j_2_c_1_c_2_m_2_c_2_c_0_-_7_m_2_k_3_l_6_k_3_b_2_c_0_-_0_-_0_-_2_i	_0_k_2_G_0_-_4_D_5_A_1_l_5_b_1_C_1_b_7_c_2_C_0_i_3_i_3_i_0_-_13_b_0_-_9_A_0_-_1_j_0_-_6_j_0_-_8_c_5_G_5_G_6_G_9_j	0.406
4a56_A	_7_m_2_k_3_l_6_k_3_b_2_c_2_i	_0_o_8_l_6_m_4_j_0_-_0_-_1_g	0.524
1vyu_B	_4_E_0_-_5_k_8_C_0_-_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C_4_j_2_c_1_c_0_-_2_m	_4_E_7_C_1_k_10_C_4_C_12_i_4_E_3_b_4_l_4_E_0_-_6_c_6_D_4_i_12_e_2_b_2_B_4_n	0.538
1l5w_A	_0_i_4_E_0_-_5_k_0_-_8_C_0_-_8_j_0_-_9_D_6_e_1_d_5_F_0_-_2_b_2_c_3_C_4_j_0_-_2_c_0_-_1_c_2_m_2_c_0_-_2_c_7_m_2_k_0_-_3_l_6_k_3_b_2_c_2_i	_0_g_2_C_2_e_6_e_1_b_0_B_15_i_8_j_1_q_8_E_4_b_1_l_9_E_7_m_5_b_0_-_0_D_5_i_2_C_11_f_3_C_5_g_0_-_1_b_1_A_4_i_3_f_1_j_11_e_10_n_1_k_1_b_0_-_1_g	0.370
7nrz_H	_4_E_5_k_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C_4_j_2_c_1_c_2_m_0_-_2_c_0_-_2_c_7_m_2_k_3_l	_0_D_4_k_5_E_3_h_7_E_9_e_0_-_5_C_0_-_11_o_4_C_4_l_7_B_0_-_2_l_9_B_3_b_0_B_1_b_7_j_1_g_8_m	0.425
5huf_B	_4_E_5_k_0_-_8_C_8_j_9_D_6_e_1_d	_2_E_1_n_17_z_6_B_0_-_5_B_5_g_5_c	0.450
5amr_A	_0_i_4_E_0_-_5_k_8_C_8_j_0_-_9_D_6_e_0_-_1_d_5_F_2_b_2_c_3_C_4_j_2_c_1_c_2_m_0_-_2_c_2_c_7_m_2_k_3_l_6_k_0_-_0_-_3_b_2_c_0_-_0_-_0_-_2_i	_9_g_17_D_2_H_4_k_0_-_1_f_3_G_6_B_2_e_10_k_4_f_0_-_16_d_1_g_0_-_3_j_10_h_1_m_9_m_1_B_2_b_0_-_19_k_8_i_6_l_14_B_2_D_2_B_2_b_2_e_23_B_4_m_10_k_1_j	0.352
