6ei0_N	_1_j_5_b_12_m_15_q_12_j	_0_q_4_b_1_o_6_q_4_p	0.500
1l5w_A	_8_k_0_-_2_e_0_-_2_h_14_i_8_F_2_I_9_c_0_-_7_l_5_o_3_c_0_-_0_-_2_c_1_C_0_f_5_g_0_-_10_C_2_k_2_n_2_j_5_o_0_-_2_o_7_k_1_D_0_-_2_c_0_-_1_g_9_m_21_B_0_-_4_D_0_-_0_b_0_-_0_-_11_e_1_j_5_b_12_m_15_q_12_j_2_B_1_i_5_i	_5_k_9_r_4_f_0_E_6_f_9_g_3_C_0_-_5_b_2_B_0_f_1_o_4_f_2_A_2_B_0_g_2_C_2_e_6_e_1_b_0_B_15_i_0_-_8_j_1_q_8_E_4_b_1_l_9_E_7_m_5_b_0_D_5_i_0_-_2_C_11_f_3_C_5_g_1_b_1_A_4_i_3_f_1_j_11_e_10_n_0_-_1_k_0_-_1_b_1_g	0.393
5huf_B	_1_D_2_c_1_g_9_m_0_-_21_B_4_D_0_b_11_e_1_j	_2_E_0_-_0_-_1_n_17_z_6_B_5_B_5_g_5_c_2_h	0.426
7doq_A	_2_I_9_c_7_l_0_-_5_o_3_c_2_c_1_C_0_f_5_g_10_C_2_k_2_n_2_j_5_o_2_o_7_k_1_D_2_c_1_g_9_m_21_B_4_D_0_-_0_b_11_e_1_j	_0_I_0_-_25_k_19_D_3_k_16_b_0_-_6_A_2_b_0_-_0_-_9_j_4_o_6_l_10_n_2_p_0_-_6_E_0_-_1_i_0_-_13_G_5_F_2_A_3_b_3_B_0_j	0.369
3ksu_B	_1_D_2_c_1_g_0_-_9_m_21_B_0_-_4_D_0_b_0_-_0_-_11_e_1_j_0_-_5_b_12_m_15_q_12_j_2_B	_0_D_0_-_4_i_5_E_2_l_4_E_5_l_2_E_9_b_2_p_2_I_3_e_6_j_6_F_12_b_0_-_0_-_1_f_10_C	0.449
3rro_A	_1_C_0_f_5_g_10_C_2_k_2_n_2_j_5_o_2_o_7_k_1_D_2_c_1_g_9_m_21_B_0_-_0_-_4_D_0_b_11_e_1_j_5_b	_0_C_5_j_0_-_3_E_2_k_0_D_0_-_0_-_0_-_5_l_4_C_9_b_2_g_5_l_2_E_2_d_5_p_1_G_5_c_3_g_10_j_1_b	0.456
2dn3_A	_10_j_8_B_0_m_8_k_2_e_2_h_14_i_8_F_2_I_9_c_7_l_5_o	_0_j_0_-_2_m_0_-_1_e_10_n_1_f_0_-_0_-_1_d_10_m_6_m	0.429
2dg8_A	_7_l_5_o_3_c_2_c_1_C_0_f_5_g_10_C_2_k_2_n_2_j_5_o_2_o_7_k	_0_l_0_-_1_b_0_-_0_-_2_g_4_e_0_-_3_q_4_m_2_l_1_m_5_n_7_j	0.405
3eyj_B	_1_D_2_c_1_g_9_m_0_-_21_B_4_D_0_b_11_e_1_j	_2_E_0_-_0_-_1_n_19_z_0_B_5_B_0_-_5_g_5_k	0.415
4qy4_B	_8_k_2_e_2_h_14_i_8_F_2_I_9_c_7_l_5_o	_0_k_8_d_9_e_6_h_0_-_0_-_0_-_6_m_5_o	0.488
1ej0_A	_7_k_1_D_2_c_1_g_9_m_21_B_4_D_0_b_11_e_1_j_5_b_12_m_15_q_0_-_12_j_2_B	_0_k_7_D_0_-_5_i_0_-_4_E_9_D_0_-_0_-_5_j_0_-_4_E_9_o_0_J_4_j_0_F	0.397
4o8a_A	_0_k_10_j_8_B_0_m_8_k_0_-_2_e_0_-_2_h_14_i_8_F_2_I_9_c_7_l_5_o_3_c_2_c_1_C_0_-_0_f_0_-_5_g_10_C_2_k_0_-_0_-_2_n_0_-_2_j_5_o_2_o_0_-_7_k_1_D_2_c_1_g_9_m_21_B_4_D_0_b_11_e_1_j_5_b_12_m_15_q_12_j	_0_g_5_j_0_-_3_n_3_j_4_l_4_e_2_l_5_e_2_c_4_E_0_-_0_-_0_-_7_o_3_c_0_-_2_C_1_b_4_b_2_b_5_k_3_B_4_k_3_b_5_E_5_l_3_E_4_j_0_-_10_l_5_E_3_i_10_D_4_c_6_b_0_-_0_-_6_F_2_b_0_-_1_j_4_c_7_c_0_-_3_j	0.405
4kkm_B	_2_o_7_k_1_D_2_c_1_g_9_m_21_B_4_D_0_b_11_e_1_j_5_b_12_m_15_q_12_j_2_B_1_i_5_i_0_-_2_f	_0_o_8_j_0_-_0_-_6_i_6_p_8_A_2_A_0_-_1_c_2_n_0_-_7_l_0_-_4_j_0_-_7_j_1_k_4_r_6_d	0.363
4bkx_B	_8_F_2_I_9_c_7_l_5_o_3_c_2_c_1_C_0_f_5_g_10_C_2_k_2_n_2_j_5_o_2_o_7_k_1_D_2_c_0_-_1_g_0_-_9_m_21_B_4_D_0_b_11_e_0_-_1_j_5_b_12_m	_0_C_0_-_4_b_11_j_0_-_3_b_0_-_1_B_6_c_5_h_0_-_9_f_11_n_5_C_0_-_0_-_20_h_6_D_6_e_6_G_16_b_3_E_5_n_0_-_3_D_2_b_12_j_5_C_6_l_14_b_19_l	0.379
5c4v_B	_1_D_2_c_1_g_9_m_21_B_4_D_0_b_11_e_0_-_1_j	_5_D_1_b_0_-_0_-_8_B_5_A_1_c_18_f_1_A_9_j	0.456
2cqm_A	_10_j_8_B_0_m_8_k_2_e_2_h_14_i_8_F_2_I	_0_j_2_D_0_n_4_i_5_e_2_f_0_-_5_E_9_E	0.645
1jya_A	_7_k_1_D_0_-_2_c_1_g_9_m_21_B_4_D_0_-_0_b_11_e_1_j	_0_j_10_E_2_F_4_A_12_g_0_-_9_D_4_D_2_A_0_b_4_e_2_e	0.548
1c7k_A	_9_m_21_B_4_D_0_-_0_-_0_b_11_e_1_j_5_b_12_m_15_q_12_j	_1_m_3_D_5_E_6_C_5_E_0_-_0_e_2_k_12_b_0_-_0_-_14_i	0.486
3h34_A	_21_B_4_D_0_b_11_e_1_j_5_b_12_m	_0_B_6_B_0_-_1_c_0_-_6_b_13_l	0.495
4q96_D	_0_k_10_j_8_B_0_m_8_k_2_e_0_-_2_h_14_i	_0_i_4_k_0_-_1_m_2_m_5_f_2_l_2_j_5_i	0.607
1wvo_A	_4_D_0_b_0_-_11_e_1_j_5_b	_0_C_11_b_0_C_11_c_3_A_11_b	0.499
3en1_B	_9_c_7_l_5_o_3_c_0_-_2_c_1_C_0_f_5_g	_0_b_7_n_0_-_3_e_1_I_6_e_8_D_0_-_1_i	0.368
1doq_A	_2_e_2_h_14_i_8_F_2_I_9_c_7_l	_0_c_3_h_5_e_0_-_0_-_2_c_7_k	0.462
4f0t_A	_2_j_5_o_2_o_7_k_1_D_2_c_1_g_9_m_21_B_4_D_0_b_11_e_1_j_5_b_12_m	_0_j_0_-_6_q_1_l_0_-_1_c_0_-_10_p_0_-_0_-_3_b_7_f_4_j_0_-_6_n	0.387
2jek_A	_2_c_1_g_9_m_21_B_4_D_0_b_11_e_1_j_5_b_12_m_15_q_12_j_2_B_1_i	_0_f_3_h_8_c_0_-_0_-_10_d_5_h_3_k_5_c_4_l_0_-_4_i_0_-_6_g	0.393
4mot_A	_2_c_1_g_9_m_21_B_4_D_0_b_11_e_1_j	_0_e_1_d_4_n_5_E_5_D_10_b_2_f_5_f	0.588
5z1n_A	_11_e_1_j_5_b_12_m_15_q_12_j_2_B_1_i_5_i_2_f	_0_d_3_m_2_p_5_p_6_q_5_k_0_-_2_i_2_b_1_g	0.496
3qu3_A	_10_j_0_-_8_B_0_m_8_k_2_e_2_h_14_i_8_F_2_I	_0_j_6_A_6_D_0_-_10_k_0_-_12_h_2_k_4_F_7_E	0.580
3mpz_B	_9_m_21_B_4_D_0_b_11_e_0_-_1_j_0_-_0_-_5_b	_0_j_12_E_4_D_6_b_3_j_5_F_10_j_4_A_6_A_0_b	0.464
1zp6_A	_1_D_2_c_1_g_9_m_21_B_4_D_0_b_11_e_1_j_0_-_5_b_12_m_15_q_12_j_2_B_1_i_5_i_2_f	_0_F_0_-_5_h_0_-_6_C_0_-_3_c_13_d_3_j_3_C_9_c_0_-_0_-_0_-_5_F_2_h_9_i_4_e	0.366
1of9_A	_12_m_15_q_12_j_2_B_1_i_5_i_2_f	_0_k_0_-_6_j_0_-_7_i_1_i_3_g	0.554
1r7a_A	_0_k_0_-_0_-_0_-_10_j_0_-_8_B_0_m_8_k_0_-_2_e_2_h_14_i_8_F_2_I_9_c_7_l_5_o_3_c_2_c_1_C_0_f_5_g_10_C_2_k_2_n_0_-_2_j_0_-_5_o_2_o_7_k_1_D_0_-_0_-_2_c_1_g_9_m_0_-_21_B_0_-_4_D_0_b	_9_j_6_C_3_A_12_D_6_g_3_F_2_B_0_-_3_j_3_b_3_c_6_d_0_-_10_E_2_E_6_C_4_l_4_D_1_b_12_l_3_C_0_-_5_g_4_C_2_j_3_h_4_B_27_k_3_d_1_b_12_c_3_k_3_D_0_c_6_f_2_d_5_f_3_l_1_c_1_F_3_F_4_E_1_b	0.350
1wj5_A	_2_o_7_k_1_D_2_c_1_g_9_m_21_B_4_D	_0_n_0_-_0_-_6_d_2_f_21_m_2_A_9_B	0.488
2g7g_A	_7_l_5_o_3_c_2_c_1_C_0_f_0_-_5_g_10_C_2_k_0_-_2_n_2_j_5_o	_0_l_0_-_5_d_4_d_4_k_5_c_3_m_2_g_0_-_6_m_3_b_2_m_14_g_5_p	0.456
3dmc_A	_5_o_3_c_2_c_1_C_0_f_5_g_10_C_2_k	_0_n_3_c_0_-_6_C_0_-_0_-_4_D_1_k	0.370
4w8c_A	_2_c_0_-_0_-_1_g_0_-_9_m_21_B_4_D	_0_c_4_I_14_G_6_i_15_C_2_m_6_C_2_C	0.450
3off_A	_1_D_2_c_1_g_9_m_21_B_4_D_0_b_11_e_1_j	_0_C_0_-_0_-_5_m_4_B_5_E_0_-_0_-_2_j	0.386
2jdj_A	_1_D_2_c_1_g_9_m_21_B_4_D_0_b_11_e_1_j	_0_F_0_-_3_i_5_e_3_G_10_F_0_-_2_e_3_i	0.433
3v70_A	_2_h_14_i_8_F_2_I_9_c_7_l_0_-_5_o_3_c_0_-_2_c_1_C_0_f_5_g_10_C_2_k_2_n_2_j_5_o	_6_h_0_-_9_F_2_F_8_c_4_i_5_F_5_k_1_e_0_E_1_c_0_-_4_f_3_h_4_B_0_-_6_o_8_j_2_l	0.513
2htj_A	_2_c_1_g_9_m_21_B_4_D_0_b_11_e	_0_i_5_g_3_k_2_C_8_C_0_-_8_c	0.569
2jxa_A	_1_D_0_-_2_c_1_g_9_m_21_B_4_D_0_b	_3_D_4_J_9_c_8_i_0_-_0_-_4_D_2_b	0.529
6jqq_B	_0_k_10_j_8_B_0_m_8_k_2_e_0_-_0_-_0_-_0_-_2_h_14_i_8_F_0_-_2_I_9_c_7_l_5_o_3_c_2_c_1_C_0_f_5_g_10_C_2_k_2_n_2_j_5_o_2_o_0_-_7_k_1_D_2_c_1_g_9_m_21_B_4_D_0_-_0_b_0_-_11_e_1_j_5_b_12_m_15_q_12_j_2_B_1_i_0_-_5_i_2_f	_9_j_15_h_0_-_0_-_1_j_1_b_4_b_2_A_4_C_5_I_8_i_3_j_4_I_0_b_22_I_22_A_4_m_0_-_5_b_1_b_0_-_64_b_4_g_0_-_3_l_4_j_3_i_6_c_14_b_13_D_6_k_2_E_0_-_0_-_0_-_3_C_5_C_1_A_5_b_2_C_5_c_0_-_0_-_0_-_0_-_2_j_4_C_0_g_11_C_5_j_4_f	0.357
4c3e_I	_9_c_0_-_7_l_5_o_3_c_2_c_1_C_0_f_5_g_10_C_2_k_2_n_2_j_5_o	_0_c_6_b_6_b_2_m_8_c_1_l_0_-_7_k_2_h_0_-_0_-_7_m_1_i_2_n	0.384
1fmf_A	_4_D_0_b_11_e_0_-_1_j_0_-_5_b_12_m_15_q_12_j_2_B_1_i	_0_F_0_-_11_e_4_H_1_j_1_G_4_d_2_f_6_E_8_j_3_B_6_i	0.472
5o5j_S	_7_k_1_D_2_c_1_g_9_m_21_B_4_D_0_b_11_e	_5_j_5_C_8_b_0_-_0_-_3_D_4_D_0_-_9_c	0.408
5k9f_A	_2_h_14_i_8_F_2_I_9_c_7_l	_4_j_1_g_1_F_7_G_2_j_2_k	0.625
5t3w_C	_1_j_5_b_12_m_15_q_12_j_2_B_1_i_5_i_2_f	_0_j_3_b_2_m_2_l_3_l_0_-_4_h_2_l_8_j	0.566
2c1d_B	_0_b_11_e_1_j_5_b_12_m_15_q_12_j	_0_b_18_g_7_b_22_c_2_k_0_-_37_j	0.470
1vk8_A	_9_m_21_B_4_D_0_b_11_e_0_-_1_j	_3_l_4_B_4_D_0_-_6_h_6_G_7_h	0.582
6oy5_E	_1_g_9_m_21_B_4_D_0_b_11_e_1_j	_0_f_3_m_13_B_4_B_0_-_3_j_11_j	0.684
1ygh_A	_8_B_0_m_8_k_2_e_2_h_14_i_8_F_2_I_9_c_0_-_7_l_5_o_3_c_2_c_1_C_0_f_5_g_10_C	_0_E_5_m_0_-_0_-_5_h_0_-_4_F_3_J_0_b_1_H_8_l_0_-_0_-_0_-_4_E_1_h_10_c_10_E	0.384
3g3n_A	_8_k_2_e_2_h_14_i_8_F_2_I_9_c_7_l_5_o_3_c_0_-_2_c_1_C_0_f_5_g_10_C_2_k_2_n_2_j_5_o_2_o_7_k_1_D_2_c_1_g_9_m	_0_j_0_-_7_f_4_j_0_-_0_-_2_c_4_k_10_l_2_c_4_k_9_e_0_-_3_d_5_m_0_-_7_l_3_m_7_l_2_b_2_p_15_g_0_-_0_-_5_i_3_n	0.372
1vh8_A	_8_F_2_I_0_-_9_c_7_l_5_o_0_-_3_c_2_c_1_C_0_f	_1_G_2_G_8_k_5_b_7_k_0_-_2_J_12_e_4_b_0_E_5_c	0.406
5lwk_A	_7_k_1_D_2_c_1_g_9_m_21_B_4_D_0_b_11_e_1_j_0_-_5_b_12_m	_3_k_5_C_0_-_2_i_0_-_4_C_0_-_0_-_0_-_8_i_5_C_5_b_19_l	0.405
2c0g_A	_7_k_1_D_2_c_1_g_9_m_21_B_4_D_0_b_11_e_1_j_5_b_12_m_15_q_12_j_2_B_1_i	_5_l_3_G_8_e_0_-_0_-_9_D_6_B_0_-_8_j_11_f_2_b_2_m_3_n_2_k_0_-_5_l	0.383
2jbw_A	_0_f_5_g_10_C_2_k_2_n_2_j_5_o_2_o_7_k_1_D_0_-_0_-_2_c_0_-_1_g_0_-_9_m_21_B_4_D_0_b_11_e_1_j_5_b_12_m_15_q_12_j_0_-_2_B_1_i_5_i_2_f	_0_f_17_c_0_-_2_k_3_f_2_h_0_-_6_n_0_-_4_C_9_C_7_C_15_d_3_B_17_k_3_J_1_j_0_-_5_D_8_b_2_i_5_j_6_b_0_-_4_E_7_h_2_b_0_E_4_e_2_c_2_f	0.399
3cue_U	_1_D_2_c_1_g_9_m_21_B_4_D_0_b_11_e_1_j	_0_D_5_B_0_-_6_o_18_D_6_D_0_-_8_e_37_i	0.509
4l0p_B	_1_D_2_c_1_g_9_m_21_B_4_D_0_b_0_-_11_e	_0_D_5_b_0_-_0_-_5_C_4_D_9_b_2_F_1_e	0.467
3jb9_G	_2_h_14_i_8_F_0_-_2_I_0_-_9_c	_0_f_3_g_3_E_4_G_6_H_18_F_1_b	0.501
1wql_B	_5_o_3_c_2_c_1_C_0_f_5_g_10_C_2_k	_0_n_3_d_0_-_8_C_6_e_0_-_8_D_1_j	0.455
1sdi_A	_14_i_8_F_2_I_9_c_7_l_5_o_3_c_2_c_1_C_0_f_5_g_10_C_2_k_2_n_2_j_5_o_2_o	_4_j_0_-_0_-_6_c_4_l_6_o_3_i_2_c_0_-_0_-_7_i_0_-_5_b_0_-_9_c_2_p_4_o	0.364
4kwh_A	_10_C_2_k_2_n_2_j_5_o_2_o_7_k_1_D_2_c_1_g_9_m_21_B_4_D_0_b_11_e_1_j_0_-_5_b_12_m_15_q_12_j_2_B_0_-_1_i_5_i_2_f	_0_C_0_-_0_-_5_j_3_E_0_-_3_k_3_E_0_-_0_-_7_m_0_-_6_C_9_b_2_g_5_h_8_D_2_b_0_-_4_p_1_b_2_F_7_c_1_g_10_j_2_b	0.387
2qs8_A	_0_k_0_-_10_j_0_-_8_B_0_m_8_k_2_e_0_-_2_h_0_-_14_i_8_F_2_I_9_c_0_-_0_-_7_l_5_o_3_c_0_-_2_c_1_C_0_f_5_g_10_C	_25_k_4_C_6_i_7_C_4_B_0_-_12_b_5_b_1_A_2_k_4_C_18_k_3_D_0_-_6_d_3_C_14_B_2_i_11_o_19_c_8_c_3_c_17_C_7_e_0_-_0_E	0.401
1spg_A	_2_k_2_n_2_j_5_o_0_-_2_o_7_k	_0_k_3_l_1_f_11_n_4_h_11_m_6_m	0.551
1qhf_A	_1_D_2_c_1_g_9_m_21_B_0_-_4_D_0_b_11_e_1_j_5_b_12_m_15_q_12_j_0_-_2_B_1_i_5_i_2_f	_0_E_4_c_0_-_13_l_6_C_3_k_7_B_1_b_5_b_4_m_20_b_4_b_0_-_6_j_5_d_4_D_0_-_1_j_6_b	0.448
2ax4_A	_2_h_0_-_14_i_8_F_2_I_9_c_7_l_0_-_5_o_3_c_2_c_1_C_0_f_5_g_10_C_2_k	_0_f_9_E_6_k_4_C_0_-_1_c_11_n_3_D_5_k_0_-_0_-_4_F_2_f_4_e_21_C_5_k	0.490
4xuw_A	_12_m_15_q_12_j_2_B_1_i_5_i_2_f	_0_m_0_-_5_k_0_-_3_l_6_i_14_b	0.435
2xtz_A	_10_j_0_-_8_B_0_m_8_k_2_e_0_-_2_h_0_-_14_i_8_F_2_I_9_c_7_l_5_o_3_c_0_-_2_c_1_C_0_f_5_g_10_C_2_k_2_n_2_j_5_o_0_-_2_o	_6_j_5_d_2_q_10_l_7_i_3_d_3_b_6_c_2_d_7_e_7_E_4_G_5_c_0_-_0_-_1_b_3_H_0_b_0_-_12_k_2_b_3_F_1_f_5_b_1_b_8_o_10_D_5_o	0.386
2nlu_A	_21_B_4_D_0_b_11_e_1_j	_15_D_4_D_1_b_3_g_6_j	0.793
6f2c_A	_8_F_2_I_9_c_7_l_5_o_3_c_0_-_2_c_1_C_0_f_5_g_10_C_2_k_2_n_2_j	_0_E_0_-_0_-_1_k_0_-_1_c_3_D_1_i_3_C_2_b_1_i_5_D_9_k_4_A_2_j	0.448
6dfg_E	_9_c_7_l_5_o_3_c_2_c_1_C_0_f_0_-_5_g	_0_d_0_-_0_-_2_c_13_c_0_-_3_h_34_c_5_e	0.352
3pxx_A	_1_C_0_f_5_g_10_C_2_k_0_-_2_n_0_-_2_j_5_o_2_o_7_k_1_D_2_c_1_g_9_m_21_B_4_D_0_b_11_e_1_j_5_b	_0_D_4_j_0_-_3_E_14_k_4_D_5_l_4_C_13_f_0_-_0_-_5_j_5_D_0_-_2_g_4_r_0_-_2_F_10_f_8_j_9_j_1_b	0.418
3ng3_A	_2_c_1_C_0_f_5_g_10_C_2_k_2_n_2_j_0_-_5_o_2_o_7_k_1_D_2_c_1_g_9_m_21_B_4_D_0_b_11_e_1_j_5_b_12_m_15_q_12_j_2_B_1_i_5_i_0_-_2_f	_0_d_2_C_7_k_0_-_3_C_0_-_0_-_1_h_4_D_0_-_0_-_8_k_4_D_2_d_0_-_3_l_0_-_3_D_0_-_2_f_2_k_0_-_4_B_0_-_12_j_4_D_0_-_5_h_4_C_2_e	0.361
2opo_A	_12_m_15_q_12_j_2_B_1_i_5_i_2_f	_0_k_0_-_9_h_0_-_6_j_9_i_4_g	0.489
3d24_C	_2_j_5_o_2_o_7_k_1_D_2_c_1_g_9_m_21_B_4_D_0_b_11_e_1_j_5_b_12_m_0_-_15_q_12_j	_0_g_11_o_9_p_0_-_5_D_0_-_0_-_0_-_2_C_0_-_0_c_7_l_3_k_0_-_9_n_6_e_2_n_7_h	0.350
5cm8_B	_2_h_14_i_8_F_2_I_9_c_7_l_5_o_3_c_2_c_1_C_0_f_5_g_10_C_2_k_0_-_2_n	_6_h_0_-_16_E_2_H_0_-_0_-_0_-_9_e_0_-_4_E_5_c_1_h_9_D_9_j_3_B_8_m	0.415
5y27_A	_3_c_2_c_1_C_0_f_5_g_10_C_2_k_2_n_2_j_5_o	_0_e_8_c_0_-_9_d_0_-_0_-_0_-_2_n_7_h_3_o	0.404
1e18_A	_0_k_0_-_10_j_0_-_8_B_0_m_0_-_0_-_8_k_0_-_2_e_2_h_0_-_0_-_14_i_8_F_2_I_9_c_0_-_7_l_5_o_3_c_2_c_1_C_0_f_5_g_0_-_10_C_0_-_2_k_0_-_2_n_0_-_2_j_5_o_2_o_7_k_1_D_2_c_1_g_9_m_21_B_0_-_4_D_0_b_0_-_11_e_1_j_5_b_12_m_15_q_12_j_2_B_1_i_5_i_0_-_2_f	_10_h_8_B_0_h_2_b_5_B_2_n_1_b_0_A_14_j_3_C_7_g_12_f_2_D_3_c_11_i_3_D_0_-_5_e_2_B_6_k_0_-_5_f_0_-_0_A_1_g_10_g_3_k_2_D_2_b_5_k_8_B_24_b_13_B_0_h_4_C_0_-_2_C_5_D_3_c_3_i_0_-_2_E_4_c_3_D_2_b_2_D_6_D_12_j_3_d_4_m_0_-_7_f_1_B_5_b_4_d_13_A_3_e	0.370
1p5j_A	_1_C_0_f_5_g_10_C_2_k_2_n_2_j_5_o_2_o_7_k_1_D_2_c_1_g_0_-_9_m_21_B_4_D_0_b_11_e_0_-_1_j_0_-_0_-_5_b_12_m_15_q_12_j_2_B_1_i_5_i_2_f	_0_C_0_f_0_-_3_C_1_b_1_b_3_k_4_C_0_-_4_k_3_D_0_-_5_h_3_C_4_k_3_B_0_-_6_f_1_h_6_D_4_j_7_E_4_g_13_b_0_-_0_-_6_h_2_E_1_k_6_j_2_f	0.417
1vqt_A	_2_c_1_C_0_f_5_g_10_C_2_k_0_-_2_n_2_j_5_o_2_o_7_k_1_D_2_c_1_g_9_m_21_B_0_-_4_D_0_b_11_e	_5_g_4_C_1_c_4_f_4_G_3_j_4_F_0_b_1_i_3_D_0_-_9_k_2_B_0_-_2_f_0_-_7_B_8_c_5_C_1_c_4_g	0.408
5ves_A	_4_D_0_b_11_e_1_j_5_b_0_-_12_m_15_q_12_j_2_B_1_i	_0_F_0_-_0_c_9_j_1_b_7_F_12_l_0_-_3_b_0_C_17_j	0.509
1mw5_A	_10_C_2_k_2_n_2_j_5_o_2_o_7_k_0_-_0_-_1_D_2_c_1_g_9_m_21_B_4_D_0_b	_0_C_0_-_1_m_11_k_9_g_7_n_1_e_3_A_2_A_2_E_0_-_2_i_0_-_5_B_0_-_4_c	0.359
1syx_B	_1_D_2_c_1_g_9_m_21_B_4_D_0_b_11_e	_9_D_0_-_0_h_0_-_8_C_8_A_0_b_2_d	0.504
2p25_A	_3_c_0_-_2_c_0_-_0_-_1_C_0_f_5_g_10_C	_2_c_10_G_0_b_1_G_2_F_18_C_0_-_3_i_18_B	0.358
2dk9_A	_7_k_1_D_2_c_1_g_9_m_21_B_4_D_0_b_11_e_1_j_5_b_12_m	_0_l_0_-_13_b_3_i_0_-_0_-_0_-_1_b_2_f_1_l_8_e_3_m	0.405
5hdj_B	_0_k_10_j_0_-_8_B_0_m_8_k_2_e_0_-_2_h_14_i_0_-_8_F_0_-_0_-_2_I_9_c_7_l_5_o_3_c_2_c_1_C_0_f	_0_g_13_j_4_b_3_E_0_-_2_i_4_c_3_G_1_i_4_c_2_p_3_D_0_d_1_f_6_I_13_c_0_-_9_o_8_h_0_-_0_-_7_f	0.419
6yuc_G	_1_D_2_c_0_-_1_g_9_m_21_B_0_-_4_D	_0_F_3_c_5_C_12_f_0_-_13_A_2_A_3_D	0.514
2vri_A	_1_D_2_c_0_-_1_g_9_m_21_B_4_D_0_b_11_e_1_j_0_-_5_b_12_m_15_q_12_j_2_B_1_i	_2_D_2_c_7_E_8_h_3_k_7_D_4_E_0_-_0_-_7_k_4_C_4_b_0_-_0_-_3_h_7_D_2_j	0.456
2l3g_A	_8_k_2_e_2_h_14_i_8_F_2_I_9_c_7_l	_0_j_0_-_13_h_3_i_14_m_0_-_8_d_4_m	0.461
2w3v_A	_7_k_1_D_2_c_1_g_9_m_21_B_4_D_0_b_11_e_0_-_1_j	_8_j_3_D_0_e_0_-_0_-_11_D_11_B_0_-_2_f_7_A_3_i	0.351
1exk_A	_1_D_2_c_1_g_9_m_21_B_4_D_0_-_0_b	_0_B_1_b_0_-_11_A_8_E_2_E_8_A_5_b	0.355
1u0b_B	_10_j_8_B_0_m_8_k_0_-_0_-_2_e_2_h_0_-_0_-_14_i_8_F_2_I_9_c_7_l_5_o_3_c_2_c_1_C_0_-_0_f_5_g_10_C_2_k_2_n_2_j_5_o_2_o_7_k_1_D_2_c_0_-_1_g_9_m_21_B_4_D	_3_i_0_-_3_m_15_k_3_B_5_B_1_b_11_e_15_E_14_A_4_j_3_F_0_-_0_b_5_i_5_F_0_-_0_-_2_B_2_A_10_c_5_g_8_A_0_-_2_m_12_j_0_-_4_n_3_l_0_-_8_d_10_c_2_i_3_k_2_D_4_E	0.393
1hgd_B	_1_D_2_c_1_g_9_m_0_-_21_B_4_D_0_b_11_e_1_j	_4_E_0_-_0_-_0_n_19_z_0_B_5_B_0_-_5_g_5_h	0.391
2l6x_A	_2_n_2_j_5_o_2_o_7_k_1_D_2_c_1_g_9_m	_0_r_6_r_4_p_7_o_7_l_0_-_13_s_7_k_5_k	0.379
1mo0_A	_0_k_0_-_10_j_8_B_0_m_8_k_2_e_0_-_2_h_14_i_8_F_2_I_9_c_7_l_0_-_0_-_5_o_3_c_0_-_2_c_1_C_0_f_5_g	_6_k_6_E_2_i_4_D_0_-_0_-_16_e_4_C_2_d_5_k_3_E_0_-_3_d_3_k_8_D_2_b_8_m_2_e_2_C_7_c_7_C_1_c_2_h	0.492
6pi5_A	_8_F_2_I_9_c_7_l_0_-_5_o_3_c_2_c_1_C_0_f_5_g_10_C_0_-_2_k_0_-_2_n_0_-_2_j_5_o_2_o_7_k_1_D_2_c_0_-_1_g_0_-_0_-_9_m_21_B_4_D_0_b_11_e	_0_E_0_-_4_b_2_n_0_E_6_j_0_-_0_-_4_C_2_k_0_-_4_D_8_E_2_k_4_E_4_l_6_E_6_k_4_C_0_-_5_h_2_E_3_b_4_F_2_k_6_C_6_B_8_l_9_B_4_B_0_-_7_d	0.354
1j2r_A	_1_D_2_c_1_g_9_m_21_B_4_D_0_b_0_-_11_e_0_-_1_j_5_b_12_m_15_q_12_j_0_-_2_B_1_i	_0_E_6_b_0_-_6_m_0_-_4_E_31_b_6_D_10_f_4_F_4_j_0_-_3_J_0_-_2_i_1_c_1_B_1_g	0.433
1v30_A	_1_D_2_c_0_-_0_-_1_g_9_m_21_B_4_D_0_b_11_e_1_j	_0_D_10_c_3_L_3_M_1_f_3_d_0_E_6_E_6_A_0_-_7_j	0.385
2atx_A	_14_i_8_F_2_I_9_c_7_l_5_o_3_c_2_c_1_C_0_f_5_g_10_C_2_k	_5_i_14_E_4_F_11_c_0_-_5_F_3_e_5_f_5_E_7_f_9_j_4_B_8_k	0.521
3bu3_A	_7_k_1_D_0_-_2_c_1_g_9_m_0_-_0_-_21_B_4_D_0_-_0_b_11_e_1_j_5_b_12_m_15_q_12_j_2_B_1_i_0_-_5_i_2_f	_7_k_10_D_6_D_0_-_6_f_15_n_2_A_5_b_0_B_5_B_6_A_13_b_2_e_0_-_0_-_4_l_0_-_11_h_0_-_12_i_4_b_3_g_7_c	0.447
